"codloc","IN_TRI","PE_TRI","Residual_T","Residual_C","Residual_R","Residual_D","Residual_LV","Residual_LP","vivPos"
"1.13.54",1,0,27,9,8,1,0,0,1
"1.13.55",3,12,327,113,10,9,0,3,5
"1.13.56",11,6,900,127,160,36,0,8,3
"1.13.57",0,0,44,24,35,5,0,0,0
"1.13.58",0,0,29,13,1,0,0,1,0
"1.13.59",0,0,90,6,11,3,0,2,0
"1.13.6",0,0,27,6,2,5,1,0,0
"1.13.60",5,44,223,75,21,0,0,2,6
"1.13.61",1,0,15,14,10,0,0,0,1
"1.13.62",0,0,219,68,68,4,0,4,0
"1.13.63",0,0,50,15,3,1,1,0,0
"1.13.75",0,0,105,54,149,0,0,6,0
"1.13.76",0,0,82,120,202,1,0,3,0
"1.13.77",0,0,6,4,17,0,0,0,0
"1.13.78",0,4,155,78,193,5,0,13,2
"1.13.8",0,0,6,0,0,0,0,0,0
"1.13.80",20,10,42,0,0,0,0,0,1
"1.13.81",0,0,54,20,17,5,0,4,0
"1.13.82",0,24,36,30,19,5,1,3,2
"1.13.83",0,21,165,114,139,6,0,2,2
"1.13.84",0,0,18,8,6,7,0,1,0
"1.13.85",0,0,50,40,6,0,0,0,0
"1.13.87",0,27,212,72,179,1,0,3,3
"1.13.88",17,40,394,180,404,3,1,21,5
"1.13.89",0,0,5,9,0,0,0,0,0
"1.13.9",2,0,415,28,16,41,0,3,1
"1.13.90",0,0,79,33,52,2,0,4,0
"1.13.91",0,0,47,13,4,0,0,0,0
"1.13.92",1,24,198,0,0,0,0,0,2
"1.13.93",0,0,31,9,8,2,1,0,0
"1.13.94",0,0,180,87,53,3,0,1,0
"1.13.95",36,73,317,0,0,0,0,0,9
"1.13.96",0,0,360,0,0,0,0,0,0
"1.13.97",0,0,37,0,0,0,0,0,0
"1.13.98",6,5,38,0,0,0,0,0,1
"1.13.99",3,30,947,0,0,0,0,0,7
"1.17.1",0,0,119,10,4,39,2,2,0
"1.17.6",0,0,156,43,6,12,0,2,0
"1.18.1",1,12,272,22,9,13,3,2,4
"1.18.10",0,0,36,4,0,4,0,1,0
"1.18.11",3,8,101,4,3,10,1,3,4
"1.18.11A",0,0,12,1,2,2,0,0,0
"1.18.12",0,0,54,12,2,6,1,1,0
"1.18.13",0,0,22,5,1,7,0,0,0
"1.18.14",0,7,115,24,7,2,1,2,2
"1.18.15",0,0,68,8,5,10,1,2,0
"1.18.16",0,0,36,16,0,16,0,1,0
"1.18.17",0,0,79,7,0,9,1,2,0
"1.18.18",0,0,51,1,0,5,1,0,0
"1.18.19",0,0,219,27,4,74,5,1,0
"1.18.1A",0,0,29,4,1,6,2,1,0
"1.18.2",16,12,68,4,3,6,1,0,2
"1.18.20",0,0,19,2,0,1,0,0,0
"1.18.21",0,0,33,4,0,10,2,0,0
"1.18.22",1,10,150,24,5,8,5,6,3
"1.18.23",3,1,22,3,1,0,0,0,3
"1.18.3",2,10,57,5,7,9,0,0,2
"1.18.4",19,2,276,6,0,32,7,2,6
"1.18.4A",0,0,9,0,0,17,1,0,0
"1.18.5",0,0,46,4,0,36,1,0,0
