"codloc","IN_TRI","PE_TRI","Residual_T","Residual_C","Residual_R","Residual_D","Residual_LV","Residual_LP","vivPos"
"1.7.17",18,6,45,6,0,4,0,0,9
"1.7.18",56,16,106,2,0,0,0,0,11
"1.7.19",18,29,98,0,3,8,0,0,11
"1.7.2",0,3,35,3,1,1,1,0,1
"1.7.20",227,110,86,2,0,3,0,0,32
"1.7.21",0,0,34,1,0,2,0,0,0
"1.7.22",10,0,11,2,0,0,0,0,1
"1.7.23",0,10,74,18,0,4,0,0,1
"1.7.24",557,941,1389,116,20,20,2,20,266
"1.7.25",12,62,346,92,17,0,0,0,17
"1.7.25A",17,36,63,7,2,1,0,0,9
"1.7.26",9,50,158,39,4,5,0,0,9
"1.7.27",558,410,666,36,4,7,1,4,191
"1.7.28",38,72,117,19,0,0,0,2,23
"1.7.29",6,3,38,9,0,3,1,0,7
"1.7.3",0,0,2,0,0,0,0,0,0
"1.7.30",27,18,252,3,1,0,0,2,17
"1.7.31",250,213,363,12,6,7,0,3,74
"1.7.32",0,0,39,16,3,3,0,0,0
"1.7.33",10,4,76,0,1,2,0,1,4
"1.7.34",4,4,79,5,2,1,1,3,2
"1.7.35",0,0,73,9,4,4,1,2,0
"1.7.35A",0,0,23,1,1,0,0,1,0
"1.7.36",254,121,343,29,10,15,0,0,62
"1.7.37",97,118,232,38,13,9,0,1,42
"1.7.37A",0,0,32,25,4,8,0,0,0
"1.7.38",68,122,170,4,2,2,0,1,21
"1.7.39",346,441,439,14,3,4,0,0,120
"1.7.4",0,0,51,15,1,0,0,0,0
"1.7.40",35,22,59,15,3,12,0,0,8
"1.7.41",63,132,397,49,29,19,0,0,21
"1.7.42",16,23,112,3,2,1,0,0,13
"1.7.42A",0,0,3,0,0,0,0,0,0
"1.7.43",1,0,7,0,0,0,0,0,1
"1.7.44",0,0,21,0,0,0,0,0,0
"1.7.45",96,34,329,0,0,0,0,0,74
"1.7.46",66,38,251,30,0,3,0,0,24
"1.7.47",5,4,66,0,0,0,0,0,8
"1.7.48",2,0,28,0,0,0,0,0,2
"1.7.48A",2,0,68,0,0,0,0,0,2
"1.7.48B",0,0,2,0,0,0,0,0,0
"1.7.48C",0,0,7,0,0,0,0,0,0
"1.7.49",0,0,93,31,8,2,0,0,0
"1.7.5",35,130,58,4,1,0,1,0,12
"1.7.6",353,87,176,34,1,3,0,1,63
"1.7.6A",60,1,46,15,0,1,0,0,21
"1.7.7",104,81,106,22,1,0,0,0,33
"1.7.7A",98,17,63,12,1,0,0,0,21
"1.7.8",88,134,263,29,0,8,0,0,31
"1.7.8A",392,339,498,21,1,5,0,1,164
"1.7.9",22,36,94,12,0,1,0,0,11
"1.8.10",120,134,144,11,5,9,0,0,55
"1.8.11",62,145,192,4,3,5,0,2,41
"1.8.12",570,1402,1043,48,30,38,4,10,362
"1.8.13",33,60,77,5,3,1,0,1,15
"1.8.14",86,105,231,27,16,1,0,4,32
"1.8.14A",1,10,4,2,0,0,0,0,2
"1.8.15",32,75,222,9,10,7,1,6,15
"1.8.16",154,441,555,36,9,3,0,6,116
"1.8.17",111,394,493,7,16,13,1,6,115
"1.8.18",34,84,280,7,11,8,0,1,24
"1.8.2",43,21,66,3,1,7,0,0,13
"1.8.20",15,0,39,4,6,1,0,0,3
"1.8.22",0,0,21,7,6,4,0,1,0
"1.8.25",0,17,9,0,0,0,0,0,3
"1.8.29",12,3,29,5,17,4,0,3,4
"1.8.31",1,4,48,1,3,5,0,0,2
"1.8.36",1,1,10,7,0,0,0,0,2
"1.8.4",11,10,45,1,2,2,0,0,3
"1.8.40",0,1,7,6,6,0,0,0,1
"1.8.5",63,222,357,18,10,27,0,1,52
"1.8.6",57,68,126,18,4,25,0,2,20
"1.8.7",29,151,138,5,4,3,0,1,30
"1.8.8",92,43,185,6,1,4,0,0,34
"1.8.9",85,91,165,13,12,14,0,0,44
"1.9.1",5,0,92,4,5,38,0,7,1
"1.9.10",19,33,151,2,0,19,4,0,17
"1.9.11",101,133,125,0,0,2,1,0,34
"1.9.12",299,548,252,4,0,1,0,1,106
"1.9.13",15,16,93,16,2,4,0,0,10
"1.9.14",1,0,133,15,0,5,1,3,1
"1.9.16",46,63,658,128,11,14,1,23,26
"1.9.17",0,10,25,1,0,0,0,1,1
"1.9.17A",1,0,30,3,0,2,0,4,1
"1.9.18",0,0,55,4,2,1,0,2,0
"1.9.19",16,30,141,8,0,2,0,4,10
"1.9.20",17,0,17,0,0,0,0,0,2
"1.9.21",22,15,243,14,3,3,0,5,10
"1.9.22",0,0,256,86,0,41,2,0,0
"1.9.22A",0,0,24,0,0,24,0,0,0
"1.9.23",9,21,891,175,12,30,2,16,6
"1.9.24",16,24,134,9,0,17,0,1,15
"1.9.25",0,0,30,1,0,7,0,0,0
"1.9.26",0,0,55,10,0,2,0,3,0
"1.9.27",0,0,12,0,0,0,0,2,0
"1.9.28A",2,23,96,22,0,6,0,5,7
"1.9.28B",0,11,33,22,0,116,0,0,3
"1.9.31",16,89,129,18,0,11,0,5,14
"1.9.4",6,18,80,12,0,12,0,1,4
"1.9.5",0,0,31,2,0,46,3,1,0
"1.9.6",29,1,148,13,2,8,3,4,7
"1.9.7",0,0,111,23,0,8,0,6,0
"1.9.8",1,0,54,5,0,7,0,3,1
"1.9.9",0,0,45,0,0,232,0,0,0
