type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime,,,,,,,,,,,,
TRACK,Manuel A. Odria-Ramiro Priale,-16.34607067,-71.5489928,8191077.948,227677.5031,False, , ,0, , , , , , ,,,,,,,,,,,,
TRACK,Manuel A. Odria-Ramiro Priale,-16.34583667,-71.5488586,8191104.035,227691.5238,False, , ,0, , , , , , ,,,,,,,,,,,,
TRACK,Manuel A. Odria-Ramiro Priale,-16.34556731,-71.54876123,8191133.986,227701.5589,False, , ,0, , , , , , ,,,,,,,,,,,,
TRACK,Manuel A. Odria-Ramiro Priale,-16.34538722,-71.54848076,8191154.3,227731.2897,False, , ,0, , , , , , ,,,,,,,,,,,,
TRACK,Manuel A. Odria-Ramiro Priale,-16.34527147,-71.54828425,8191167.377,227752.1353,False, , ,0, , , , , , ,,,,,,,,,,,,
TRACK,Manuel A. Odria-Ramiro Priale,-16.3447512,-71.5479137,8191225.473,227791.0245,False, , ,0, , , , , , ,,,,,,,,,,,,
TRACK,Manuel A. Odria-Ramiro Priale,-16.34458965,-71.54792059,8191243.35,227790.0639,False, , ,0, , , , , , ,,,,,,,,,,,,
TRACK,Manuel A. Odria-Ramiro Priale,-16.34440769,-71.54821036,8191263.106,227758.8361,False, , ,0, , , , , , ,,,,,,,,,,,,
TRACK,Manuel A. Odria-Ramiro Priale,-16.34506253,-71.54867689,8191189.984,227709.8743,False, , ,0, , , , , , ,,,,,,,,,,,,
TRACK,Manuel A. Odria-Ramiro Priale,-16.34483283,-71.54901205,8191214.965,227673.7285,False, , ,0, , , , , , ,,,,,,,,,,,,
TRACK,Manuel A. Odria-Ramiro Priale,-16.34546171,-71.54941298,8191144.804,227631.7432,False, , ,0, , , , , , ,,,,,,,,,,,,
TRACK,Manuel A. Odria-Ramiro Priale,-16.3457884,-71.54967504,8191108.285,227604.1838,False, , ,0, , , , , , ,,,,,,,,,,,,
TRACK,Manuel A. Odria-Ramiro Priale,-16.34614462,-71.54989841,8191068.548,227580.8007,False, , ,0, , , , , , ,,,,,,,,,,,,
TRACK,Manuel A. Odria-Ramiro Priale,-16.34647247,-71.55016565,8191031.894,227552.6887,False, , ,0, , , , , , ,,,,,,,,,,,,
