"UNICODE","I_TRIAT","P_TRIAT","FECHA","CICLO","TRATADA","RENUENTE","CERRADA","DESHABITADA","LOCAL_PUBLICO","LOTE_VACIO"
"1.8.14.136","0","0","25/01/2007",1,1,0,0,0,0,0
"1.8.14.136","0","0","20/07/2007",2,1,0,0,0,0,0
