UNICODE,I_TRIAT,P_TRIAT,FECHA,CICLO,TRATADA,RENUENTE,CERRADA,DESHABITADA,LOCAL_PUBLICO,LOTE_VACIO,,,,
1.13.10.1134,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1136,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1137,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1138,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1140,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1142,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1144,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1145,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1148,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1151,0,0,0,1,0,0,0,1,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1155,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1158,0,0,0,1,0,0,0,1,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1162,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1164,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1165,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1167,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1168,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1184,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1185,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1186,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1196,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1197,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1212,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1213,0,0,0,1,0,0,0,1,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1216,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1217,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1219,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1227,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1228,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1229,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1233,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1237,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1239,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1240,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1242,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1249,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1250,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1251,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1252,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1253,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1256,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1257,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1258,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1259,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1260,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1261,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1264,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1267,0,0,0,1,0,1,0,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1270,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
1.13.10.1271,0,0,0,1,0,0,1,0,0,0,,ARREGLAR EN LA BASE ,,
