UNICODE,I_TRIAT,P_TRIAT,FECHA,CICLO,TRATADA,RENUENTE,CERRADA,DESHABITADA,LOCAL_PUBLICO,LOTE_VACIO,,,,,
1.3.49.308,,0,11/09/2011,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.320,,0,11/09/2011,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.329,,0,11/09/2011,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.330,,0,11/09/2011,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.327,,0,11/09/2011,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.328,,0,11/09/2011,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.323,,0,11/10/2011,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.362,,0,11/10/2011,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.342,,0,11/10/2011,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.361,,0,11/10/2011,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.312,,0,11/10/2011,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.354,,0,11/10/2011,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.356,,0,11/10/2011,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.335,,0,11/10/2011,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.343,,0,11/10/2011,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.357,,0,11/11/2011,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.326,,0,11/11/2011,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.338,,0,11/11/2011,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.358,,0,11/14/11,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.355,,0,11/14/11,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.344,,0,12/15/11,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.360,,0,12/15/11,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.322,,0,12/16/11,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.349,,0,08/20/12,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.348,,0,08/20/12,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.326,,0,08/27/12,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.302,,0,08/27/12,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.342,,0,08/28/12,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.309,,0,08/28/12,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.347,,0,08/28/12,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.319,,0,08/28/12,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.353,,0,08/28/12,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.344,,0,08/28/12,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.343,,0,08/28/12,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.322,,0,08/28/12,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.324,,0,08/28/12,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.346,,0,08/28/12,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.320,,0,08/28/12,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.332,,0,08/28/12,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.310,,0,08/28/12,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.303,,0,08/28/12,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.305,,0,08/28/12,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.328,,0,08/29/12,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.325,,0,08/30/12,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.338,,0,08/30/12,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.339,,0,08/30/12,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.333,,0,08/30/12,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.312,,0,08/30/12,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.313,,0,08/30/12,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.352,,0,08/30/12,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.315,,0,08/30/12,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.306,,0,08/30/12,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.335,,0,09/03/2012,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
1.3.49.304,,0,09/03/2012,2,1,0,0,0,0,0,,LOCALIDAD ACTUALIZADA POR MINSA ,,,
