UNICODE,I_TRIAT,P_TRIAT,FECHA,CICLO,TRATADA,RENUENTE,CERRADA,DESHABITADA,LOCAL_PUBLICO,LOTE_VACIO,,
1.5.11.768,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.770,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.772,0,0,0,1,0,0,1,0,0,0,,MINSA
1.5.11.773,0,0,0,1,0,0,1,0,0,0,,MINSA
1.5.11.776,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.777,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.778,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.779,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.780,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.782,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.783,0,0,0,1,0,0,1,0,0,0,,MINSA
1.5.11.784,0,0,0,1,0,0,1,0,0,0,,MINSA
1.5.11.786,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.787,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.788,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.792,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.793,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.794,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.795,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.796,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.797,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.798,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.800,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.801,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.802,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.803,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.804,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.805,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.808,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.809,0,0,0,1,0,0,1,0,0,0,,MINSA
1.5.11.810,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.811,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.812,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.813,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.814,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.815,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.816,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.817,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.818,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.819,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.820,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.821,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.822,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.823,0,0,0,1,0,0,0,0,0,1,,MINSA
1.5.11.824,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.825,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.826,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.827,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.828,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.829,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.830,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.831,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.832,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.833,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.834,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.835,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.11.836,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.14.484,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.14.485,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.14.487,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.14.488,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.14.489,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.14.491,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.14.492,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.14.493,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.14.496,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.14.497,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.14.498,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.14.499,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.14.500,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.14.501,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.14.506,0,0,0,1,0,0,1,0,0,0,,MINSA
1.5.14.507,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.14.508,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.14.509,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.14.510,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.14.511,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.14.513,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.14.516,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.14.517,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.14.519,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.14.520,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.14.521,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.14.522,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.14.523,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.14.524,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.14.525,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.14.526,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.14.527,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.14.530,0,0,0,1,0,0,0,1,0,0,,MINSA
1.5.19.1,0,0,0,1,0,1,0,0,0,0,,"no hay croquis no hay puntos ,solo los tiene el minsa "
1.5.19.10,0,0,0,1,0,0,1,0,0,0,,"no hay croquis no hay puntos ,solo los tiene el minsa "
1.5.19.13,0,0,0,1,0,0,0,1,0,0,,"no hay croquis no hay puntos ,solo los tiene el minsa "
1.5.19.14,0,0,0,1,0,0,0,0,1,0,,"no hay croquis no hay puntos ,solo los tiene el minsa "
1.5.19.17,0,0,0,1,0,0,1,0,0,0,,"no hay croquis no hay puntos ,solo los tiene el minsa "
1.5.19.19,0,0,0,1,0,0,1,0,0,0,,"no hay croquis no hay puntos ,solo los tiene el minsa "
1.5.19.2,0,0,0,1,0,1,0,0,0,0,,"no hay croquis no hay puntos ,solo los tiene el minsa "
1.5.19.20,0,0,0,1,0,0,0,1,0,0,,"no hay croquis no hay puntos ,solo los tiene el minsa "
1.5.19.24,0,0,0,1,0,0,0,1,0,0,,"no hay croquis no hay puntos ,solo los tiene el minsa "
1.5.19.28,0,0,0,1,0,0,1,0,0,0,,"no hay croquis no hay puntos ,solo los tiene el minsa "
1.5.19.29,0,0,0,1,0,0,1,0,0,0,,"no hay croquis no hay puntos ,solo los tiene el minsa "
1.5.19.3,0,0,0,1,0,1,0,0,0,0,,"no hay croquis no hay puntos ,solo los tiene el minsa "
1.5.19.30,0,0,0,1,0,0,0,1,0,0,,"no hay croquis no hay puntos ,solo los tiene el minsa "
1.5.19.31,0,0,0,1,0,1,0,0,0,0,,"no hay croquis no hay puntos ,solo los tiene el minsa "
1.5.19.32,0,0,0,1,0,0,0,1,0,0,,"no hay croquis no hay puntos ,solo los tiene el minsa "
1.5.19.34,0,0,0,1,0,0,0,1,0,0,,"no hay croquis no hay puntos ,solo los tiene el minsa "
1.5.19.36,0,0,0,1,0,0,0,1,0,0,,"no hay croquis no hay puntos ,solo los tiene el minsa "
1.5.19.39,0,0,0,1,0,0,1,0,0,0,,"no hay croquis no hay puntos ,solo los tiene el minsa "
1.5.19.41,0,0,0,1,0,0,0,1,0,0,,"no hay croquis no hay puntos ,solo los tiene el minsa "
1.5.19.42,0,0,0,1,0,0,0,0,1,0,,"no hay croquis no hay puntos ,solo los tiene el minsa "
1.5.19.43,0,0,0,1,0,0,0,0,1,0,,"no hay croquis no hay puntos ,solo los tiene el minsa "
1.5.19.44,0,0,0,1,0,0,0,1,0,0,,"no hay croquis no hay puntos ,solo los tiene el minsa "
1.5.19.45,0,0,0,1,0,0,0,1,0,0,,"no hay croquis no hay puntos ,solo los tiene el minsa "
1.5.19.46,0,0,0,1,0,0,0,1,0,0,,"no hay croquis no hay puntos ,solo los tiene el minsa "
1.5.19.54,0,0,0,1,0,0,0,1,0,0,,"no hay croquis no hay puntos ,solo los tiene el minsa "
1.5.19.56,0,0,0,1,0,0,1,0,0,0,,"no hay croquis no hay puntos ,solo los tiene el minsa "
1.5.19.57,0,0,0,1,0,0,1,0,0,0,,"no hay croquis no hay puntos ,solo los tiene el minsa "
1.5.19.58,0,0,0,1,0,0,0,0,1,0,,"no hay croquis no hay puntos ,solo los tiene el minsa "
