UNICODE;P;D;L;V;LATITUDE;LONGITUDE
1.28.2.23;1;28;2;23;-16.56390425;-71.45755833
1.28.2.24;1;28;2;24;-16.56400556;-71.45718528
1.28.2.25;1;28;2;25;-16.56417874;-71.45729523
1.28.2.26;1;28;2;26;-16.56413173;-71.45746389
1.28.2.27;1;28;2;27;-16.5641;-71.45772093
1.28.2.28;1;28;2;28;-16.56402222;-71.45799133
1.28.2.29;1;28;2;29;-16.56393611;-71.45789956
1.28.2.30;1;28;2;30;-16.56554376;-71.45401028
1.28.3.1;1;28;3;1;-16.5694851;-71.45000833
1.28.3.2;1;28;3;2;-16.56815937;-71.45183967
1.28.3.3;1;28;3;3;-16.56835961;-71.45156997
1.28.3.4;1;28;3;4;-16.56973462;-71.45020549
1.28.3.5;1;28;3;5;-16.56962392;-71.44980193
1.28.3.6;1;28;3;6;-16.56971452;-71.44972506
1.28.3.7;1;28;3;7;-16.56979498;-71.44962778
1.28.3.8;1;28;3;8;-16.57100278;-71.44807209
1.28.3.9;1;28;3;9;-16.57068056;-71.44766325
1.28.3.10;1;28;3;10;-16.57071579;-71.44751011
1.28.3.11;1;28;3;11;-16.57059715;-71.44618952
1.28.3.12;1;28;3;12;-16.56991002;-71.44604785
1.28.3.13;1;28;3;13;-16.57071432;-71.4440706
1.28.3.14;1;28;3;14;-16.57282136;-71.44537559
1.28.3.15;1;28;3;15;-16.57211028;-71.44887836
1.28.3.16;1;28;3;16;-16.5717803;-71.44858096
1.28.3.17;1;28;3;17;-16.57157666;-71.4484136
1.28.3.18;1;28;3;18;-16.57147259;-71.44829321
1.28.3.19;1;28;3;19;-16.5712099;-71.44806616
1.28.3.20;1;28;3;20;-16.57118755;-71.44787357
1.28.3.21;1;28;3;21;-16.57102821;-71.44760851
1.28.3.22;1;28;3;22;-16.57166389;-71.44872673
1.28.3.23;1;28;3;23;-16.57218119;-71.44915414
1.28.3.24;1;28;3;24;-16.57239412;-71.44956521
1.28.3.25;1;28;3;25;-16.5723857;-71.44980833
1.28.3.26;1;28;3;26;-16.57235803;-71.45006884
1.28.3.27;1;28;3;27;-16.57228883;-71.45019276
1.28.3.28;1;28;3;28;-16.57220414;-71.45024524
1.28.3.29;1;28;3;29;-16.57222477;-71.45033655
1.28.3.30;1;28;3;30;-16.57215082;-71.45045547
1.28.3.31;1;28;3;31;-16.57207343;-71.45057351
1.28.3.32;1;28;3;32;-16.57165848;-71.45041488
1.28.3.33;1;28;3;33;-16.57321805;-71.44918888
1.28.3.34;1;28;3;34;-16.57331342;-71.44907009
1.28.3.35;1;28;3;35;-16.57337473;-71.44897305
1.28.3.36;1;28;3;36;-16.57344354;-71.44890516
1.28.3.37;1;28;3;37;-16.57350831;-71.44887589
1.28.3.38;1;28;3;38;-16.57358161;-71.44881843
1.28.3.39;1;28;3;39;-16.57366961;-71.44873961
1.28.3.40;1;28;3;40;-16.5737372;-71.44866086
1.28.3.41;1;28;3;41;-16.57404381;-71.44838639
1.28.3.42;1;28;3;42;-16.57459523;-71.44789282
1.28.3.43;1;28;3;43;-16.5734523;-71.44945278
1.28.3.44;1;28;3;44;-16.57342767;-71.45026919
1.28.3.45;1;28;3;45;-16.57284903;-71.45036111
1.28.3.46;1;28;3;46;-16.57263333;-71.45020222
1.28.3.47;1;28;3;47;-16.57286903;-71.4501178
1.28.3.48;1;28;3;48;-16.57298094;-71.44989499
1.28.3.49;1;28;3;49;-16.57253843;-71.45043706
1.28.3.50;1;28;3;50;-16.57228683;-71.45089196
1.28.3.51;1;28;3;51;-16.5722899;-71.45117565
1.28.3.52;1;28;3;52;-16.57238245;-71.45150708
1.28.3.53;1;28;3;53;-16.5723769;-71.45169674
1.28.3.54;1;28;3;54;-16.57247816;-71.45190054
