Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2017/05/02, 12:51:17, -16.406544, -71.502831, 2460.12,  0.00, 83, 0, 0.00, 1
2017/05/02, 12:54:25, -16.406212, -71.503029, 2461.33,  0.00, 322, 0, 42.53, 1
2017/05/02, 12:57:33, -16.406212, -71.503029, 2461.33,  0.00, 322, 0, 0.00, 1
2017/05/02, 13:00:42, -16.406296, -71.503014, 2458.26,  0.00, 223, 0, 9.48, 1
2017/05/02, 13:03:44, -16.406296, -71.503014, 2458.26,  0.00, 223, 0, 0.00, 1
2017/05/02, 13:06:47, -16.406235, -71.503059, 2464.52,  0.00, 247, 0, 8.31, 1
2017/05/02, 13:09:50, -16.406235, -71.503059, 2464.52,  0.00, 247, 0, 0.00, 1
2017/05/02, 13:12:54, -16.406185, -71.503075, 2456.58,  0.00, 117, 0, 5.82, 1
2017/05/02, 13:15:58, -16.406185, -71.503075, 2456.58,  0.00, 117, 0, 0.00, 1
2017/05/02, 13:19:02, -16.406185, -71.503075, 2456.58,  0.00, 117, 0, 0.00, 1
2017/05/02, 13:22:06, -16.405914, -71.503052, 2462.93,  0.00, 24, 0, 30.23, 1
2017/05/02, 13:25:10, -16.405884, -71.503098, 2462.01,  0.00, 24, 0, 5.93, 1
2017/05/02, 13:28:13, -16.406002, -71.503181, 2462.97,  900.00, 316, 0, 15.83, 1
2017/05/02, 13:31:16, -16.406132, -71.503418, 2457.63,  0.00, 226, 0, 29.12, 1
2017/05/02, 13:34:18, -16.406017, -71.503212, 2455.16,  0.00, 75, 0, 25.42, 1
2017/05/02, 13:37:20, -16.405931, -71.503242, 2459.81,  0.00, 328, 0, 10.08, 1
2017/05/02, 13:40:22, -16.405931, -71.503242, 2459.81,  0.00, 328, 0, 0.00, 1
2017/05/02, 13:43:24, -16.405958, -71.503174, 2460.16,  0.00, 142, 0, 7.85, 1
2017/05/02, 13:46:26, -16.405844, -71.503242, 2464.36,  0.00, 178, 0, 14.60, 1
2017/05/02, 13:49:29, -16.405807, -71.503258, 2466.32,  0.00, 291, 0, 4.45, 1
2017/05/02, 13:52:32, -16.405733, -71.503288, 2469.55,  0.00, 316, 0, 8.83, 1
2017/05/02, 13:55:36, -16.405691, -71.503311, 2470.22,  0.00, 323, 0, 5.28, 1
2017/05/02, 13:58:40, -16.405691, -71.503311, 2470.22,  0.00, 323, 0, 0.00, 1
2017/05/02, 14:01:47, -16.405617, -71.503418, 2464.22,  0.00, 323, 0, 14.07, 1
2017/05/02, 14:04:52, -16.405617, -71.503418, 2464.22,  0.00, 323, 0, 0.00, 1
2017/05/02, 14:07:56, -16.405617, -71.503418, 2464.22,  0.00, 323, 0, 0.00, 1
2017/05/02, 14:11:00, -16.405617, -71.503418, 2464.22,  0.00, 323, 0, 0.00, 1
2017/05/02, 14:14:03, -16.405781, -71.503281, 2460.09,  1368.00, 148, 0, 23.37, 1
2017/05/02, 14:17:07, -16.406515, -71.502876, 2455.65,  0.00, 149, 0, 92.35, 1
2017/05/02, 14:20:10, -16.406551, -71.503075, 2454.87,  1332.00, 276, 0, 21.60, 1
2017/05/02, 14:23:12, -16.406544, -71.503113, 2460.34,  0.00, 314, 0, 4.13, 1
2017/05/02, 14:26:14, -16.406544, -71.503113, 2460.34,  0.00, 314, 0, 0.00, 1
2017/05/02, 14:29:16, -16.406578, -71.503250, 2455.71,  0.00, 282, 0, 15.09, 1
2017/05/02, 14:32:17, -16.406576, -71.503311, 2454.56,  0.00, 76, 0, 6.51, 1
2017/05/02, 14:35:18, -16.406559, -71.503555, 2453.18,  0.00, 280, 0, 26.10, 1
2017/05/02, 14:38:19, -16.406559, -71.503555, 2453.18,  0.00, 280, 0, 0.00, 1
2017/05/02, 14:41:20, -16.406544, -71.503525, 2449.99,  0.00, 280, 0, 3.61, 1
2017/05/02, 14:44:21, -16.406496, -71.503548, 2451.12,  0.00, 8, 0, 5.87, 1
2017/05/02, 14:47:22, -16.406487, -71.503563, 2449.36,  0.00, 8, 0, 1.89, 1
2017/05/02, 14:50:23, -16.406487, -71.503563, 2449.36,  0.00, 8, 0, 0.00, 1
2017/05/02, 14:53:24, -16.406538, -71.503540, 2449.87,  144.00, 139, 0, 6.18, 1
2017/05/02, 14:56:25, -16.406540, -71.503540, 2449.94,  0.00, 139, 0, 0.22, 1
2017/05/02, 14:59:26, -16.406601, -71.503395, 2446.65,  0.00, 133, 0, 16.89, 1
2017/05/02, 15:02:31, -16.406626, -71.503380, 2456.80,  0.00, 219, 0, 3.21, 1
2017/05/02, 15:05:37, -16.406076, -71.502930, 2456.46,  0.00, 110, 0, 77.74, 1
2017/05/02, 15:08:43, -16.406059, -71.502930, 2458.55,  0.00, 110, 0, 1.89, 1
2017/05/02, 15:11:49, -16.405964, -71.502663, 2466.70,  1908.00, 332, 0, 30.38, 1
2017/05/02, 15:14:56, -16.406097, -71.502197, 2466.40,  0.00, 144, 0, 51.86, 1
2017/05/02, 15:18:04, -16.406132, -71.502167, 2469.36,  1836.00, 175, 0, 5.04, 1
2017/05/02, 15:21:12, -16.406111, -71.502190, 2468.99,  0.00, 175, 0, 3.39, 1
2017/05/02, 15:24:20, -16.406446, -71.502022, 2469.01,  1548.00, 245, 0, 41.34, 1
2017/05/02, 15:27:28, -16.406454, -71.502037, 2468.99,  0.00, 245, 0, 1.83, 1
2017/05/02, 15:30:35, -16.406511, -71.502029, 2477.91,  0.00, 245, 0, 6.40, 1
2017/05/02, 15:33:42, -16.405928, -71.502296, 2469.68,  2484.00, 329, 0, 70.81, 1
2017/05/02, 15:36:50, -16.405643, -71.502464, 2464.69,  1188.00, 327, 0, 36.41, 1
2017/05/02, 15:39:58, -16.405619, -71.502457, 2466.65,  1800.00, 327, 0, 2.77, 1
2017/05/02, 15:43:07, -16.405302, -71.502609, 2467.15,  0.00, 324, 0, 38.80, 1
2017/05/02, 15:46:16, -16.405302, -71.502609, 2467.15,  0.00, 324, 0, 0.00, 1
2017/05/02, 15:49:25, -16.405260, -71.503319, 2458.91,  2844.00, 268, 0, 75.88, 1
2017/05/02, 15:51:05, -16.405371, -71.504189, 2456.44,  2124.00, 275, -1, 93.62, 1
2017/05/02, 15:54:13, -16.405472, -71.505371, 2449.81,  3276.00, 274, 0, 126.58, 1
2017/05/02, 15:57:20, -16.405155, -71.507324, 2445.43,  4428.00, 311, 0, 211.28, 1
2017/05/02, 16:00:27, -16.403891, -71.508698, 2428.55,  0.00, 331, 0, 203.06, 1
2017/05/02, 16:03:29, -16.402891, -71.510002, 2424.48,  3924.00, 308, 0, 178.08, 1
2017/05/02, 16:06:31, -16.402317, -71.511467, 2415.47,  0.00, 230, 0, 168.80, 1
2017/05/02, 16:09:33, -16.402376, -71.512001, 2420.38,  2268.00, 249, 0, 57.34, 1
2017/05/02, 16:12:35, -16.402365, -71.512016, 2422.35,  0.00, 313, 0, 2.01, 1
2017/05/02, 16:15:37, -16.402374, -71.511986, 2425.84,  0.00, 313, 0, 3.35, 1
2017/05/02, 16:18:40, -16.402222, -71.512093, 2426.46,  1044.00, 323, 0, 20.39, 1
2017/05/02, 16:21:43, -16.402269, -71.511993, 2426.24,  0.00, 295, 0, 11.88, 1
2017/05/02, 16:24:46, -16.402363, -71.512062, 2427.87,  0.00, 295, 0, 12.78, 1
2017/05/02, 16:27:49, -16.402349, -71.512009, 2426.90,  2664.00, 143, 0, 5.86, 1
2017/05/02, 16:30:52, -16.402353, -71.512016, 2424.88,  0.00, 353, 0, 0.87, 1
2017/05/02, 16:33:55, -16.402296, -71.512039, 2423.80,  0.00, 311, 0, 6.80, 1
2017/05/02, 16:36:58, -16.402327, -71.512032, 2423.31,  0.00, 156, 0, 3.53, 1
2017/05/02, 16:40:01, -16.402262, -71.512047, 2424.00,  0.00, 156, 0, 7.40, 1
2017/05/02, 16:43:04, -16.402327, -71.511993, 2427.23,  0.00, 156, 0, 9.24, 1
2017/05/02, 16:46:07, -16.402308, -71.511993, 2433.73,  0.00, 323, 0, 2.11, 1
