"unicode","numero","provincia","distrito","localidad","vivienda","fec_captura","fec_ingreso","fec_lectura","intra_peri","codigo","intra_peri_code","cap_mac","cap_hem","cap_eta5","cap_eta4","cap_eta3","cap_eta2","cap_eta1","cap_total","exa_mac","exa_hem","exa_eta5","exa_eta4","exa_eta3","exa_eta2","exa_total","pos_mac","pos_hem","pos_eta5","pos_eta4","pos_eta3","pos_eta2","pos_total","procedencia","fase","apl_ins","procesado","observaciones","UNIFECHA","Codigo.Corral","Cuy","Conejo","Pollo","Pato","Pavo","Ganso","Perro","Gato","Oveja","Cerdo","Vaca","Otros","Otros1","NumOtros","NumOtros1","Otras.Aves","Ladrillo.Pircado","Ladrillo.Noble","Piedra.Pircada","Piedra.Noble","Sillar.Pircado","Sillar.Noble","Noble","Adobe","Calamina.Eternit","Madera","Malla","Plastico","Carton","POtrosPte","POtros1Pte","PRLadrPcdo","PRLadrNble","PRPdraPcda","PRPdraNble","PRSillarPcdo","PRSillarNble","PRNble","PRAdobe","PRCal_Eter","PRMadera","PRMalla","PRPlastico","PRCarton","PROtros","PROtros1","PCLadrPcdo","PCLadrNble","PCPdraPcda","PCPdraNble","PCSillarPcdo","PCSillarNble","PCNble","PCAdobe","PCCal_Eter","PCMadera","PCMalla","PCPlastico","PCCarton","PCOtros","PCOtros1","TAdobePte","TCal_EterPte","TMaderaPte","TMallaPte","TPlasticoPte","TPaja_EsteraPte","TLadrilloPte","TSillarPte","TNoblePte","TCartonPte","TBasuraPte","TOtrosPte","TOtros1Pte","TRAdobe","TRCal_Eter","TRMadera","TRMalla","TRPlastico","TRPaja_Estera","TRLadrillo","TRSillar","TRNoble","TRCarton","TRBasura","TROtros","TROtros1","TCAdobe","TCal_Eter","TCMadera","TCMalla","TCPlastico","TCPaja_Estera","TCLadrillo","TCSillar","TCNoble","TCCarton","TCBasura","TCOtros","TCOtros1","LugarCorral","Hace.cuanto.se.construyo","Opcion1","Aplicaron.insecticida","Hace.Cuanto.Aplicaron","Opcion2a","Nombre.del.Insecticida","OtroInsecticida","Hace.cuanto.limpiaron","Opcion3","Mudan.Corral","Cada.cuanto.tiempo","Opcion4a","Estatus","Observaciones"
"1.1.34.100",8201,1,1,"34","100","2014-04-27","2014-04-28","2014-04-30","PERI","A","1.1.34.100-A",2,0,0,5,6,1,0,14,2,0,0,5,5,0,12,0,0,0,0,0,0,0,"EP",1,0,"MV","1III,1II SECAS","1.1.34.100-27/04/2014","B",0,0,0,0,0,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"1",0,0,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Patio",0,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,1,""
"1.1.34.100",8201,1,1,"34","100","2014-04-27","2014-04-28","2014-04-30","PERI","A","1.1.34.100-A",2,0,0,5,6,1,0,14,2,0,0,5,5,0,12,0,0,0,0,0,0,0,"EP",1,0,"MV","1III,1II SECAS","1.1.34.100-27/04/2014","PERI",0,0,0,0,0,0,1,0,0,0,0,"","",0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,"","",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Patio",0,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,1,"9X12"
"1.1.34.100",8201,1,1,"34","100","2014-04-27","2014-04-28","2014-04-30","PERI","A","1.1.34.100-A",2,0,0,5,6,1,0,14,2,0,0,5,5,0,12,0,0,0,0,0,0,0,"EP",1,0,"MV","1III,1II SECAS","1.1.34.100-27/04/2014","A",10,0,0,0,0,0,0,0,0,0,0,"","",0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,"","",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,"1",0,0,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Patio",0,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,1,""
"1.1.34.101",8182,1,1,"34","101","2014-03-27","2014-03-27","2014-04-15","PERI","E","1.1.34.101-E",13,4,69,26,13,1,101,227,13,4,61,25,11,0,114,0,0,0,0,0,0,0,"EP",1,0,"RS","8V,1IV,2III,1II PODRIDAS","1.1.34.101-27/03/2014","PERI",0,0,0,0,0,0,1,0,0,0,0,"","",0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,"BLOQUETA NOBLE","BLOQUETA PIRCADA",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Techo/Patio",0,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,1,"5X6"
"1.1.34.101",8182,1,1,"34","101","2014-03-27","2014-03-27","2014-04-15","PERI","E","1.1.34.101-E",13,4,69,26,13,1,101,227,13,4,61,25,11,0,114,0,0,0,0,0,0,0,"EP",1,0,"RS","8V,1IV,2III,1II PODRIDAS","1.1.34.101-27/03/2014","B",0,1,0,3,0,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"1",0,0,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Patio",0,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,1,""
"1.1.34.101",8182,1,1,"34","101","2014-03-27","2014-03-27","2014-04-15","PERI","E","1.1.34.101-E",13,4,69,26,13,1,101,227,13,4,61,25,11,0,114,0,0,0,0,0,0,0,"EP",1,0,"RS","8V,1IV,2III,1II PODRIDAS","1.1.34.101-27/03/2014","D",0,0,0,0,0,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"1",0,0,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Patio",0,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,1,""
"1.1.34.101",8182,1,1,"34","101","2014-03-27","2014-03-27","2014-04-15","PERI","E","1.1.34.101-E",13,4,69,26,13,1,101,227,13,4,61,25,11,0,114,0,0,0,0,0,0,0,"EP",1,0,"RS","8V,1IV,2III,1II PODRIDAS","1.1.34.101-27/03/2014","E",0,0,0,0,0,0,0,0,0,0,0,"","",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"","",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"1",0,0,0,1,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Techo",0,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,1,""
"1.1.34.101",8182,1,1,"34","101","2014-03-27","2014-03-27","2014-04-15","PERI","E","1.1.34.101-E",13,4,69,26,13,1,101,227,13,4,61,25,11,0,114,0,0,0,0,0,0,0,"EP",1,0,"RS","8V,1IV,2III,1II PODRIDAS","1.1.34.101-27/03/2014","C",0,0,0,0,0,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,"METAL","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"1",0,0,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Patio",0,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,1,""
"1.1.34.101",8182,1,1,"34","101","2014-03-27","2014-03-27","2014-04-15","PERI","E","1.1.34.101-E",13,4,69,26,13,1,101,227,13,4,61,25,11,0,114,0,0,0,0,0,0,0,"EP",1,0,"RS","8V,1IV,2III,1II PODRIDAS","1.1.34.101-27/03/2014","A",0,0,1,0,0,0,0,0,0,0,0,"","",0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"0",0,0,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Patio",0,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,1,""
"1.1.34.102",8173,1,1,"34","102","2014-03-27","2014-03-27","2014-04-15","INTRA","1.I","1.1.34.102-1.I",0,0,1,0,1,0,2,4,0,0,1,0,1,0,2,0,0,0,0,0,0,0,"EP",1,1,"RS","0","1.1.34.102-27/03/2014","P1",0,0,0,0,0,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BLOQUETA PIRCADA","",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"0",0,0,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Techo",0,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,1,""
