"type,ident,lat,long,y_proj,x_proj,comment,display,symbol,unused1,dist,prox_index,color,altitude,depth,temp,time,wpt_class,sub_class,attrib,link,state,country,city,address,facility,crossroad,unused2,ete,dtype,model,filename,ltime"
"WAYPOINT,1.3.99.39,-16.32650125485171,-71.53893930398401,8193257.9168484,228725.147161238, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.40,-16.32644700535533,-71.53887552952359,8193264.00778964,228731.890109914, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.41,-16.32638858310426,-71.53882624956638,8193270.54137944,228737.077767866, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.42,-16.32629816817898,-71.53878276790533,8193280.60914756,228741.601414418, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.43,-16.32623557294999,-71.53873493753275,8193287.60279245,228746.628353416, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.44,-16.32618132362259,-71.53868710704444,8193293.67246184,228751.666824283, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.45,-16.32607143367781,-71.5385769518191,8193305.98513702,228763.291366462, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.46,-16.32614654528461,-71.53846244518968,8193297.82210016,228775.636359598, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.47,-16.32620913838339,-71.53837402846082,8193291.01022166,228785.174926374, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.48,-16.32619435785461,-71.53941406705313,8193291.2606819,228673.968987579, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.49,-16.32606854937101,-71.53895421520934,8193305.80176969,228722.955941489, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.50,-16.32595961642982,-71.53907680942604,8193317.69836018,228709.699638745, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.51,-16.32590587655225,-71.53916459240719,8193323.53091563,228700.241002138, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.52,-16.32584051688759,-71.53924480803188,8193330.65997866,228691.575314783, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.53,-16.32578387213581,-71.53933410485239,8193336.81210863,228681.950820132, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.54,-16.32572722776452,-71.53946880585269,8193342.90367856,228667.472363401, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.55,-16.32566331884456,-71.53940978070639,8193350.05770033,228673.694269265, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.56,-16.32557762342032,-71.53938859295259,8193359.57327493,228675.841081995, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.57,-16.32552097634661,-71.53930383841599,8193365.95762433,228684.82363445, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.58,-16.32561248022066,-71.53921151452391,8193355.95027424,228694.819858933, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.59,-16.32568510234564,-71.53912675853114,8193348.02323286,228703.98096656, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.60,-16.32574900958078,-71.53905411029588,8193341.04487874,228711.835655349, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.61,-16.32580710789888,-71.53896935290722,8193334.72576332,228720.976857103, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.62,-16.32584486972731,-71.53881800381465,8193330.74682866,228737.20900308, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.63,-16.32591458850968,-71.53886946124148,8193322.9597018,228731.804132844, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.64,-16.32598866458236,-71.53891486469867,8193314.69824485,228727.052481215, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.65,-16.32505097029328,-71.53874516953023,8193418.73640695,228743.89994329, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.66,-16.32489643003104,-71.53858141281098,8193436.06372055,228761.193271731, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.67,-16.32459089443841,-71.5386540280891,8193469.79278765,228753.008719044, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.68,-16.32452212105468,-71.53857341041757,8193477.51408576,228761.532353856, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.69,-16.32443099754317,-71.53854653902955,8193487.63815805,228764.279352338, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
