"UNICODE","LATITUDE","LONGITUDE"
"1.1.1.204A",NA,NA
"1.1.1.211A",NA,NA
"1.1.1.213A",NA,NA
"1.1.1.222A",NA,NA
"1.1.1.233A",NA,NA
"1.1.1.326A",NA,NA
"1.1.1.352A",NA,NA
"1.1.1.355A",NA,NA
"1.1.1.363A",NA,NA
"1.1.1.363B",NA,NA
"1.1.1.373A",NA,NA
"1.1.1.375A",NA,NA
"1.1.1.376A",NA,NA
"1.1.1.376B",NA,NA
"1.1.1.377A",NA,NA
"1.1.1.382A",NA,NA
"1.1.1.388A",NA,NA
"1.1.1.389A",NA,NA
"1.1.1.404A",NA,NA
"1.1.1.404B",NA,NA
"1.1.1.413A",NA,NA
"1.1.1.417A",NA,NA
"1.1.1.419A",NA,NA
"1.1.1.422A",NA,NA
"1.1.1.424A",NA,NA
"1.1.10.225A",NA,NA
"1.1.10.231A",NA,NA
"1.1.10.375A",NA,NA
"1.1.10.414A",NA,NA
"1.1.10.423A",NA,NA
"1.1.13.76A",NA,NA
"1.1.13.8A",NA,NA
"1.1.13.91A",NA,NA
"1.1.14.11A",NA,NA
"1.1.14.164A",NA,NA
"1.1.14.20A",NA,NA
"1.1.14.20B",NA,NA
"1.1.14.20C",NA,NA
"1.1.14.216A",NA,NA
"1.1.14.217A",NA,NA
"1.1.14.234A",NA,NA
"1.1.15.47A",NA,NA
"1.1.2.150A",NA,NA
"1.1.2.164A",NA,NA
"1.1.2.175A",NA,NA
"1.1.2.181A",NA,NA
"1.1.2.184A",NA,NA
"1.1.2.184B",NA,NA
"1.1.2.287A",NA,NA
"1.1.2.298A",NA,NA
"1.1.2.2A",NA,NA
"1.1.2.6A",NA,NA
"1.1.2.76A",NA,NA
"1.1.2.90A",NA,NA
"1.1.22.11A",NA,NA
"1.1.22.14A",NA,NA
"1.1.22.14B",NA,NA
"1.1.22.14C",NA,NA
"1.1.22.15A",NA,NA
"1.1.22.15B",NA,NA
"1.1.22.160A",NA,NA
"1.1.22.176A",NA,NA
"1.1.22.55A",NA,NA
"1.1.22.55B",NA,NA
"1.1.22.56A",NA,NA
"1.1.22.61A",NA,NA
"1.1.22.72A",NA,NA
"1.1.22.76A",NA,NA
"1.1.22.76B",NA,NA
"1.1.22.89A",NA,NA
"1.1.22.89B",NA,NA
"1.1.22.91A",NA,NA
"1.1.22.93A",NA,NA
"1.1.23.107A",NA,NA
"1.1.23.10A",NA,NA
"1.1.23.133A",NA,NA
"1.1.23.20A",NA,NA
"1.1.23.20B",NA,NA
"1.1.23.4A",NA,NA
"1.1.23.57A",NA,NA
"1.1.23.67A",NA,NA
"1.1.23.74A",NA,NA
"1.1.25.1A",NA,NA
"1.1.25.23A",NA,NA
"1.1.25.49A",NA,NA
"1.1.25.59A",NA,NA
"1.1.25.62A",NA,NA
"1.1.26.117A",NA,NA
"1.1.26.123A",NA,NA
"1.1.26.186A",NA,NA
"1.1.26.28A",NA,NA
"1.1.26.55A",NA,NA
"1.1.26.56A",NA,NA
"1.1.26.56B",NA,NA
"1.1.26.6A",NA,NA
"1.1.26.89A",NA,NA
"1.1.26.96A",NA,NA
"1.1.27.116A",NA,NA
"1.1.27.148A",NA,NA
"1.1.27.148B",NA,NA
"1.1.27.205A",NA,NA
"1.1.27.224A",NA,NA
"1.1.27.276A",NA,NA
"1.1.27.27A",NA,NA
"1.1.27.282A",NA,NA
"1.1.27.42A",NA,NA
"1.1.27.79A",NA,NA
"1.1.27.84A",NA,NA
"1.1.27.95A",NA,NA
"1.1.29.111A",NA,NA
"1.1.29.112A",NA,NA
"1.1.29.116A",NA,NA
"1.1.29.121A",NA,NA
"1.1.29.13A",NA,NA
"1.1.29.30A",NA,NA
"1.1.29.3A",NA,NA
"1.1.3.353A",NA,NA
"1.1.3.353B",NA,NA
"1.1.3.353C",NA,NA
"1.1.3.361A",NA,NA
"1.1.3.362A",NA,NA
"1.1.3.362B",NA,NA
"1.1.3.371A",NA,NA
"1.1.3.440A",NA,NA
"1.1.3.440B",NA,NA
"1.1.3.441A",NA,NA
"1.1.3.441B",NA,NA
"1.1.3.446A",NA,NA
"1.1.3.466A",NA,NA
"1.1.3.666A",NA,NA
"1.1.3.673A",NA,NA
"1.1.3.673B",NA,NA
"1.1.3.679A",NA,NA
"1.1.3.679B",NA,NA
"1.1.3.683A",NA,NA
"1.1.3.694A",NA,NA
"1.1.3.694B",NA,NA
"1.1.3.694C",NA,NA
"1.1.3.698A",NA,NA
"1.1.3.710A",NA,NA
"1.1.3.710B",NA,NA
"1.1.3.710C",NA,NA
"1.1.3.710D",NA,NA
"1.1.3.759A",NA,NA
"1.1.3.759B",NA,NA
"1.1.3.769A",NA,NA
"1.1.3.769B",NA,NA
"1.1.3.775A",NA,NA
"1.1.3.775B",NA,NA
"1.1.3.775C",NA,NA
"1.1.3.776A",NA,NA
"1.1.3.819A",NA,NA
"1.1.3.825A",NA,NA
"1.1.3.950A",NA,NA
"1.1.34.100A",NA,NA
"1.1.34.118A",NA,NA
"1.1.34.120A",NA,NA
"1.1.34.122A",NA,NA
"1.1.34.128A",NA,NA
"1.1.34.154A",NA,NA
"1.1.34.162A",NA,NA
"1.1.34.166A",NA,NA
"1.1.34.192A",NA,NA
"1.1.34.195A",NA,NA
"1.1.34.197A",NA,NA
"1.1.34.19A",NA,NA
"1.1.34.203A",NA,NA
"1.1.34.219A",NA,NA
"1.1.34.225A",NA,NA
"1.1.34.231A",NA,NA
"1.1.34.234A",NA,NA
"1.1.34.23A",NA,NA
"1.1.34.241A",NA,NA
"1.1.34.246A",NA,NA
"1.1.34.24A",NA,NA
"1.1.34.24B",NA,NA
"1.1.34.256A",NA,NA
"1.1.34.259A",NA,NA
"1.1.34.266A",NA,NA
"1.1.34.274A",NA,NA
"1.1.34.279A",NA,NA
"1.1.34.282A",NA,NA
"1.1.34.282B",NA,NA
"1.1.34.284A",NA,NA
"1.1.34.285A",NA,NA
"1.1.34.285B",NA,NA
"1.1.34.285C",NA,NA
"1.1.34.285D",NA,NA
"1.1.34.290A",NA,NA
"1.1.34.290B",NA,NA
"1.1.34.290C",NA,NA
"1.1.34.293A",NA,NA
"1.1.34.295A",NA,NA
"1.1.34.296A",NA,NA
"1.1.34.299A",NA,NA
"1.1.34.299B",NA,NA
"1.1.34.29A",NA,NA
"1.1.34.2A",NA,NA
"1.1.34.305A",NA,NA
"1.1.34.308A",NA,NA
"1.1.34.310A",NA,NA
"1.1.34.312A",NA,NA
"1.1.34.314A",NA,NA
"1.1.34.317A",NA,NA
"1.1.34.319A",NA,NA
"1.1.34.326A",NA,NA
"1.1.34.326B",NA,NA
"1.1.34.334A",NA,NA
"1.1.34.339A",NA,NA
"1.1.34.343A",NA,NA
"1.1.34.343B",NA,NA
"1.1.34.358A",NA,NA
"1.1.34.361A",NA,NA
"1.1.34.364A",NA,NA
"1.1.34.364B",NA,NA
"1.1.34.365A",NA,NA
"1.1.34.365B",NA,NA
"1.1.34.367A",NA,NA
"1.1.34.372A",NA,NA
"1.1.34.372B",NA,NA
"1.1.34.372C",NA,NA
"1.1.34.372D",NA,NA
"1.1.34.373A",NA,NA
"1.1.34.375A",NA,NA
"1.1.34.377A",NA,NA
"1.1.34.386A",NA,NA
"1.1.34.394A",NA,NA
"1.1.34.413A",NA,NA
"1.1.34.430A",NA,NA
"1.1.34.431A",NA,NA
"1.1.34.439A",NA,NA
"1.1.34.444A",NA,NA
"1.1.34.450A",NA,NA
"1.1.34.451A",NA,NA
"1.1.34.45A",NA,NA
"1.1.34.45B",NA,NA
"1.1.34.460A",NA,NA
