"type,ident,lat,long,y_proj,x_proj,comment,display,symbol,unused1,dist,prox_index,color,altitude,depth,temp,time,wpt_class,sub_class,attrib,link,state,country,city,address,facility,crossroad,unused2,ete,dtype,model,filename,ltime"
"WAYPOINT,1.28.1.39,-16.56887998727485,-71.43894811045587,8166556.27235564,239737.961875431, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.40,-16.5687139054024,-71.43903180476337,8166574.54989622,239728.802910384, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.41,-16.56800221652907,-71.43887976574183,8166653.53450105,239744.078463293, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.42,-16.56776251819611,-71.43889270916033,8166680.05349444,239742.374263486, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.43,-16.56777530564272,-71.43881533048852,8166678.73819732,239750.652847585, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.44,-16.56788578523508,-71.43871319204563,8166666.64000419,239761.706267484, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.45,-16.56830833333333,-71.43865620687728,8166619.9357571,239768.358418212, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.46,-16.56845833333333,-71.43865344854099,8166603.33360208,239768.854582647, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.47,-16.5685395377793,-71.43867069095512,8166594.32151669,239767.122868265, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.48,-16.56839723149754,-71.43878866971562,8166609.92253785,239754.335492845, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.49,-16.56864683032835,-71.43849283678807,8166582.67431363,239786.255763909, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.50,-16.56897069362966,-71.43867938615072,8166546.57918469,239766.774215116, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.51,-16.56907644372413,-71.43876268308924,8166534.76412127,239758.023200877, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.52,-16.56914060050166,-71.43892579349982,8166527.45013489,239740.694985185, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.53,-16.5689285605091,-71.4390839908553,8166550.71884389,239723.519904698, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.54,-16.56910318963443,-71.43939421106569,8166530.9841919,239690.634068359, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.55,-16.56895538984708,-71.43926627262698,8166547.51229632,239704.09465098, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.56,-16.56883822452064,-71.43921608527882,8166560.54816606,239709.295342989, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.57,-16.56875515827442,-71.43917777777779,8166569.79369051,239713.273543562, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.58,-16.56849681588296,-71.43915139446261,8166598.42767958,239715.742955946, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.59,-16.56848567727064,-71.43936796148937,8166599.37990206,239692.606118692, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.60,-16.56829444444444,-71.43946612000977,8166620.42300436,239681.868995437, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.61,-16.56828681056283,-71.43957877999955,8166621.1219841,239669.830528784, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.62,-16.5683356095496,-71.43977208259364,8166615.46895052,239649.25811761, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.63,-16.56805567387766,-71.43980379380753,8166646.41808001,239645.495917302, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.64,-16.56793034352725,-71.43977481888584,8166660.33035667,239648.42086756, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.65,-16.56778655518799,-71.43972568805677,8166676.31216828,239653.472957973, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.66,-16.56753770473214,-71.4398935597052,8166703.64338495,239635.215281628, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.67,-16.567597826265,-71.44003327307115,8166696.80638824,239620.379525864, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.68,-16.56780632766683,-71.43992721152841,8166673.86183979,239631.983740902, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.69,-16.56788371976876,-71.44012883462133,8166665.03258094,239610.561401461, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.1.70,-16.56789898967013,-71.44066630932176,8166662.64474483,239553.198042891, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.2.1,-16.56400604151707,-71.45999046826844,8167068.44307118,237484.74736033, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.2.2,-16.56370801156312,-71.45960373206047,8167101.94255493,237525.634851009, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.2.3,-16.56343460417931,-71.45883531098988,8167133.21498328,237607.308138338, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.2.4,-16.5635477112323,-71.4586454799001,8167120.94143438,237627.729577564, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.2.5,-16.56341023453489,-71.45844722222222,8167136.42005948,237648.71114671, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.2.6,-16.56356083058894,-71.45830555555556,8167119.93327048,237664.040868398, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.28.2.7,-16.56395437393154,-71.45835054950291,8167076.30678236,237659.770138004, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
