"type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime"
"TRACK,1.11.1-6,-16.39252616960359,-71.52621638608777,8185965.25754438,230176.121390166,False, , ,0, , , , , , "
"TRACK,1.11.1-6,-16.39227749750246,-71.52650416564943,8185992.40497264,230145.024106895,False, , ,0, , , , , , "
"TRACK,1.11.1-6,-16.39255037356743,-71.52675835656281,8185961.85668146,230118.235400009,False, , ,0, , , , , , "
"TRACK,1.11.1-6,-16.3927044269508,-71.52693944520421,8185944.56046372,230099.095218691,False, , ,0, , , , , , "
"TRACK,1.11.1-7, , ,10000000,11015404.4991538, , , , , , , , , , "
"TRACK,1.11.1-7,-16.39263565075858,-71.52697103949603,8185952.132596,230095.623962324,False, , ,0, , , , , , "
"TRACK,1.11.1-7,-16.39255756883805,-71.52683976202778,8185960.95174832,230109.545671901,False, , ,0, , , , , , "
"TRACK,1.11.1-7,-16.39239717853241,-71.52667520923772,8185978.92750416,230126.909983354,False, , ,0, , , , , , "
"TRACK,1.11.1-7,-16.39224765011569,-71.5265496817202,8185995.64879174,230140.118735038,False, , ,0, , , , , , "
"TRACK,1.11.1-7,-16.39181842354889,-71.52702567927331,8186042.53477953,230088.657837586,False, , ,0, , , , , , "
"TRACK,1.11.1-7,-16.39195385995505,-71.52721447131299,8186027.28936815,230068.668670787,False, , ,0, , , , , , "
"TRACK,1.11.1-8, , ,10000000,11015404.4991538, , , , , , , , , , "
"TRACK,1.11.1-8,-16.39182307043792,-71.52649053535373,8186042.73254058,230145.854282066,False, , ,0, , , , , , "
"TRACK,1.11.1-8,-16.39205583580733,-71.52665638430413,8186016.74247186,230128.45116092,False, , ,0, , , , , , "
"TRACK,1.11.1-8,-16.39220852332916,-71.52649260605061,8186000.05645777,230146.164372406,False, , ,0, , , , , , "
"TRACK,1.11.1-8,-16.3916263042759,-71.52596488422176,8186065.21586675,230201.758620636,False, , ,0, , , , , , "
"TRACK,1.11.1-8,-16.39117704467265,-71.52555473066026,8186115.49882159,230244.97204622,False, , ,0, , , , , , "
"TRACK,1.11.1-8,-16.39102568529386,-71.52575106586127,8186131.99456912,230223.781349961,False, , ,0, , , , , , "
"TRACK,1.11.1-8,-16.39123788470552,-71.52607834915936,8186108.06665696,230189.097418808,False, , ,0, , , , , , "
"TRACK,1.11.1-8,-16.39148282802861,-71.52646331830314,8186080.43685143,230148.29388717,False, , ,0, , , , , , "
"TRACK,1.11.1-8,-16.39178366684447,-71.52695686126177,8186046.47427822,230095.964394146,False, , ,0, , , , , , "
"TRACK,1.11.1-8,-16.39203234094936,-71.52668158573241,8186019.31003851,230125.725532694,False, , ,0, , , , , , "
"TRACK,1.11.1-8,-16.39180988890211,-71.5265127402473,8186044.16231365,230143.463106517,False, , ,0, , , , , , "
"TRACK,1.11.1-9, , ,10000000,11015404.4991538, , , , , , , , , , "
"TRACK,1.11.1-9,-16.3917728677225,-71.52757709279535,8186046.84422193,230029.666240847,False, , ,0, , , , , , "
"TRACK,1.11.1-9,-16.39202159037758,-71.52746077955759,8186019.46307059,230042.439490076,False, , ,0, , , , , , "
"TRACK,1.11.1-9,-16.39155883911199,-71.5267167879768,8186071.6843846,230121.310709411,False, , ,0, , , , , , "
"TRACK,1.11.1-9,-16.39112692997102,-71.52599658373558,8186120.45919013,230197.682666751,False, , ,0, , , , , , "
"TRACK,1.11.1-9,-16.3910891649393,-71.5260254365227,8186124.60175234,230194.54715255,False, , ,0, , , , , , "
"TRACK,1.11.1-9,-16.39116844696143,-71.52631181004428,8186115.4434481,230164.052019776,False, , ,0, , , , , , "
