type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime,
TRACK,1.7.2-3,-16.44736972,-71.56017698,8179847.91,226623.5225,False, , ,0, , , , , , ,
TRACK,1.7.2-3,-16.44746586,-71.56024325,8179837.176,226616.5768,False, , ,0, , , , , , ,
TRACK,1.7.2-3,-16.44771527,-71.5603971,8179809.356,226600.4889,False, , ,0, , , , , , ,
TRACK,1.7.2-3,-16.44799087,-71.55990787,8179779.505,226653.1442,False, , ,0, , , , , , ,
TRACK,1.7.2-3,-16.44828251,-71.55975825,8179747.419,226669.5387,False, , ,0, , , , , , ,
TRACK,1.7.2-3,-16.44820054,-71.55971068,8179756.559,226674.5061,False, , ,0, , , , , , ,
TRACK,1.7.2-3,-16.4481077,-71.5596904,8179766.864,226676.5423,False, , ,0, , , , , , ,
TRACK,1.7.2-3,-16.44794534,-71.55966755,8179784.871,226678.7565,False, , ,0, , , , , , ,
TRACK,1.7.2-3,-16.44784991,-71.55973706,8179795.342,226671.1964,False, , ,0, , , , , , ,
TRACK,1.7.2-3,-16.44796919,-71.55982114,8179782.023,226662.3803,False, , ,0, , , , , , ,
TRACK,1.7.2-3,-16.44789714,-71.55990622,8179789.884,226653.1898,False, , ,0, , , , , , ,
TRACK,1.7.2-3,-16.44767498,-71.5597492,8179814.692,226669.6538,False, , ,0, , , , , , ,
TRACK,1.7.2-3,-16.44749631,-71.56000519,8179834.126,226642.0536,False, , ,0, , , , , , ,
TRACK,1.7.2-4, , ,10000000,11015404.5, , , , , , , , , , ,
TRACK,1.7.2-4,-16.44835459,-71.56039928,8179738.572,226601.1524,False, , ,0, , , , , , ,
TRACK,1.7.2-4,-16.44852232,-71.56022856,8179720.233,226619.6268,False, , ,0, , , , , , ,
TRACK,1.7.2-4,-16.44873699,-71.56012708,8179696.604,226630.7697,False, , ,0, , , , , , ,
TRACK,1.7.2-4,-16.4483594,-71.55977719,8179738.881,226667.6226,False, , ,0, , , , , , ,
TRACK,1.7.2-4,-16.44808825,-71.55987751,8179768.765,226656.525,False, , ,0, , , , , , ,
TRACK,1.7.2-4,-16.44798489,-71.56010648,8179779.898,226631.9171,False, , ,0, , , , , , ,
TRACK,1.7.3-1, , ,10000000,11015404.5, , , , , , , , , , ,
TRACK,1.7.3-1,-16.44874217,-71.56009823,8179696.069,226633.8592,False, , ,0, , , , , , ,
TRACK,1.7.3-1,-16.44887909,-71.55994046,8179681.124,226650.9076,False, , ,0, , , , , , ,
TRACK,1.7.3-1,-16.44900029,-71.55979769,8179667.898,226666.3306,False, , ,0, , , , , , ,
TRACK,1.7.3-1,-16.44850095,-71.55942014,8179723.692,226705.9687,False, , ,0, , , , , , ,
TRACK,1.7.3-1,-16.44847613,-71.55946877,8179726.374,226700.7383,False, , ,0, , , , , , ,
TRACK,1.7.3-1,-16.44845597,-71.55965843,8179728.35,226680.4468,False, , ,0, , , , , , ,
TRACK,1.7.3-1,-16.44836276,-71.55976584,8179738.524,226668.8404,False, , ,0, , , , , , ,
TRACK,1.7.3-2, , ,10000000,11015404.5, , , , , , , , , , ,
TRACK,1.7.3-2,-16.44788487,-71.55968176,8179791.546,226677.1541,False, , ,0, , , , , , ,
TRACK,1.7.3-2,-16.44795099,-71.55964349,8179784.278,226681.3356,False, , ,0, , , , , , ,
TRACK,1.7.3-2,-16.44822354,-71.55967826,8179754.056,226678.0019,False, , ,0, , , , , , ,
TRACK,1.7.3-2,-16.44831516,-71.55973994,8179743.829,226671.5406,False, , ,0, , , , , , ,
TRACK,1.7.3-2,-16.44838444,-71.5596834,8179736.235,226677.6784,False, , ,0, , , , , , ,
TRACK,1.7.3-2,-16.44819902,-71.55953989,8179756.957,226692.7517,False, , ,0, , , , , , ,
TRACK,1.7.3-2,-16.44798963,-71.55935887,8179780.385,226711.7984,False, , ,0, , , , , , ,
TRACK,1.7.3-2,-16.44778461,-71.55961896,8179802.731,226683.7225,False, , ,0, , , , , , ,
TRACK,1.7.3-3, , ,10000000,11015404.5, , , , , , , , , , ,
TRACK,1.7.3-3,-16.44824903,-71.55955147,8179751.405,226691.5837,False, , ,0, , , , , , ,
TRACK,1.7.3-3,-16.44839375,-71.55964893,8179735.251,226681.3747,False, , ,0, , , , , , ,
TRACK,1.7.3-3,-16.44842652,-71.55955474,8179731.75,226691.4837,False, , ,0, , , , , , ,
TRACK,1.7.3-3,-16.44843864,-71.55936564,8179730.664,226711.7038,False, , ,0, , , , , , ,
TRACK,1.7.3-3,-16.44816849,-71.55914309,8179760.874,226735.1026,False, , ,0, , , , , , ,
TRACK,1.7.3-3,-16.44801636,-71.55934186,8179777.449,226713.6532,False, , ,0, , , , , , ,
TRACK,1.7.4-1, , ,10000000,11015404.5, , , , , , , , , , ,
TRACK,1.7.4-1,-16.44747721,-71.5600084,8179836.237,226641.6836,False, , ,0, , , , , , ,
TRACK,1.7.4-1,-16.44761908,-71.55979443,8179820.82,226664.7431,False, , ,0, , , , , , ,
TRACK,1.7.4-1,-16.44738407,-71.55965774,8179847.023,226679.0185,False, , ,0, , , , , , ,
TRACK,1.7.4-1,-16.44720684,-71.5598887,8179866.332,226654.0935,False, , ,0, , , , , , ,
TRACK,1.7.4-1,-16.44713213,-71.56003594,8179874.404,226638.2585,False, , ,0, , , , , , ,
TRACK,1.7.4-1,-16.44734289,-71.56019802,8179850.852,226621.2362,False, , ,0, , , , , , ,
TRACK,1.7.4-2, , ,10000000,11015404.5, , , , , , , , , , ,
TRACK,1.7.4-2,-16.4471766,-71.56102121,8179868.149,226533.0531,False, , ,0, , , , , , ,
TRACK,1.7.4-2,-16.44731558,-71.56098353,8179852.812,226537.2745,False, , ,0, , , , , , ,
TRACK,1.7.4-2,-16.44754864,-71.56070917,8179827.381,226566.914,False, , ,0, , , , , , ,
TRACK,1.7.4-2,-16.44769296,-71.56042915,8179811.782,226597.033,False, , ,0, , , , , , ,
TRACK,1.7.4-2,-16.4471165,-71.56009538,8179876.055,226631.886,False, , ,0, , , , , , ,
TRACK,1.7.4-2,-16.44693684,-71.56044975,8179895.466,226593.7723,False, , ,0, , , , , , ,
TRACK,1.7.4-2,-16.44681339,-71.56063241,8179908.886,226574.0839,False, , ,0, , , , , , ,
TRACK,1.7.4-2,-16.44673254,-71.56078913,8179917.626,226557.227,False, , ,0, , , , , , ,
TRACK,1.7.4-3, , ,10000000,11015404.5, , , , , , , , , , ,
TRACK,1.7.4-3,-16.44667297,-71.56076908,8179924.247,226559.2851,False, , ,0, , , , , , ,
TRACK,1.7.4-3,-16.44677502,-71.56060024,8179913.178,226577.4674,False, , ,0, , , , , , ,
TRACK,1.7.4-3,-16.44698368,-71.5602416,8179890.561,226616.0773,False, , ,0, , , , , , ,
TRACK,1.7.4-3,-16.44707334,-71.56006802,8179880.87,226634.7485,False, , ,0, , , , , , ,
TRACK,1.7.4-3,-16.44679076,-71.55991096,8179912.367,226651.1324,False, , ,0, , , , , , ,
TRACK,1.7.4-3,-16.44640528,-71.56064086,8179954.058,226572.6087,False, , ,0, , , , , , ,
TRACK,1.7.4-4, , ,10000000,11015404.5, , , , , , , , , , ,
TRACK,1.7.4-4,-16.44709181,-71.56002516,8179878.883,226639.3537,False, , ,0, , , , , , ,
TRACK,1.7.4-4,-16.4473405,-71.55962415,8179851.892,226682.5453,False, , ,0, , , , , , ,
TRACK,1.7.4-4,-16.44708884,-71.55943175,8179880.014,226702.7497,False, , ,0, , , , , , ,
TRACK,1.7.4-4,-16.44691558,-71.55967172,8179898.872,226676.868,False, , ,0, , , , , , ,
TRACK,1.7.4-4,-16.44681541,-71.55986942,8179909.695,226655.6057,False, , ,0, , , , , , ,
TRACK,1.7.4-5, , ,10000000,11015404.5, , , , , , , , , , ,
TRACK,1.7.4-5,-16.44634805,-71.56060512,8179960.442,226576.3474,False, , ,0, , , , , , ,
TRACK,1.7.4-5,-16.44653961,-71.56026321,8179939.697,226613.1454,False, , ,0, , , , , , ,
TRACK,1.7.4-5,-16.4462534,-71.56011127,8179971.59,226628.978,False, , ,0, , , , , , ,
TRACK,1.7.4-5,-16.44609001,-71.56042901,8179989.248,226594.8012,False, , ,0, , , , , , ,
TRACK,1.7.4-6, , ,10000000,11015404.5, , , , , , , , , , ,
TRACK,1.7.4-6,-16.44656571,-71.56021523,8179936.872,226618.3083,False, , ,0, , , , , , ,
TRACK,1.7.4-6,-16.44672675,-71.55987701,8179919.5,226654.6706,False, , ,0, , , , , , ,
TRACK,1.7.4-6,-16.44647242,-71.5597299,8179947.856,226670.0309,False, , ,0, , , , , , ,
TRACK,1.7.4-6,-16.446251,-71.55962763,8179972.509,226680.6473,False, , ,0, , , , , , ,
TRACK,1.7.4-6,-16.44625174,-71.5598862,8179972.077,226653.0223,False, , ,0, , , , , , ,
TRACK,1.7.4-6,-16.44626912,-71.56006618,8179969.91,226633.8176,False, , ,0, , , , , , ,
TRACK,1.7.4-7, , ,10000000,11015404.5, , , , , , , , , , ,
TRACK,1.7.4-7,-16.44687233,-71.55965321,8179903.685,226678.7851,False, , ,0, , , , , , ,
TRACK,1.7.4-7,-16.44665296,-71.5594985,8179928.181,226695.0074,False, , ,0, , , , , , ,
TRACK,1.7.4-7,-16.4464718,-71.55967584,8179947.998,226675.8056,False, , ,0, , , , , , ,
TRACK,1.7.4-7,-16.44676691,-71.55984367,8179915.1,226658.2885,False, , ,0, , , , , , ,
TRACK,1.7.4-8, , ,10000000,11015404.5, , , , , , , , , , ,
TRACK,1.7.4-8,-16.44662787,-71.55948297,8179930.98,226696.6315,False, , ,0, , , , , , ,
TRACK,1.7.4-8,-16.44635073,-71.55922976,8179962.006,226723.2956,False, , ,0, , , , , , ,
TRACK,1.7.4-8,-16.44605728,-71.55897559,8179994.837,226750.0404,False, , ,0, , , , , , ,
TRACK,1.7.4-8,-16.44600527,-71.55906607,8180000.473,226740.3002,False, , ,0, , , , , , ,
TRACK,1.7.4-8,-16.44593186,-71.55915374,8180008.482,226730.8313,False, , ,0, , , , , , ,
TRACK,1.7.4-8,-16.4461444,-71.55943634,8179984.569,226700.9352,False, , ,0, , , , , , ,
TRACK,1.7.4-8,-16.44622785,-71.55956085,8179975.162,226687.7497,False, , ,0, , , , , , ,
TRACK,1.7.4-8,-16.44643095,-71.55965951,8179952.543,226677.4935,False, , ,0, , , , , , ,
TRACK,1.7.5-1, , ,10000000,11015404.5, , , , , , , , , , ,
TRACK,1.7.5-1,-16.44960009,-71.5578956,8179604.064,226870.3893,False, , ,0, , , , , , ,
TRACK,1.7.5-1,-16.44904121,-71.55736472,8179666.657,226926.3257,False, , ,0, , , , , , ,
TRACK,1.7.5-1,-16.44881909,-71.55738714,8179691.219,226923.6185,False, , ,0, , , , , , ,
TRACK,1.7.5-1,-16.4486779,-71.5575337,8179706.652,226907.7632,False, , ,0, , , , , , ,
TRACK,1.7.5-1,-16.44933881,-71.55817531,8179632.613,226840.1389,False, , ,0, , , , , , ,
TRACK,1.7.5-2, , ,10000000,11015404.5, , , , , , , , , , ,
TRACK,1.7.5-2,-16.44961087,-71.55786849,8179602.908,226873.3003,False, , ,0, , , , , , ,
TRACK,1.7.5-2,-16.44986607,-71.55759294,8179575.027,226903.0974,False, , ,0, , , , , , ,
TRACK,1.7.5-2,-16.44948579,-71.55726075,8179617.577,226938.056,False, , ,0, , , , , , ,
TRACK,1.7.5-2,-16.44925782,-71.55751836,8179642.467,226910.2134,False, , ,0, , , , , , ,
TRACK,1.7.5-3, , ,10000000,11015404.5, , , , , , , , , , ,
TRACK,1.7.5-3,-16.44989223,-71.55756569,8179572.167,226906.0458,False, , ,0, , , , , , ,
TRACK,1.7.5-3,-16.45013233,-71.55730055,8179545.943,226934.7094,False, , ,0, , , , , , ,
TRACK,1.7.5-3,-16.44983141,-71.55701555,8179579.644,226964.7364,False, , ,0, , , , , , ,
TRACK,1.7.5-3,-16.44958752,-71.55727849,8179606.291,226936.3032,False, , ,0, , , , , , ,
TRACK,1.7.5-4, , ,10000000,11015404.5, , , , , , , , , , ,
TRACK,1.7.5-4,-16.45016321,-71.55727686,8179542.557,226937.2837,False, , ,0, , , , , , ,
TRACK,1.7.5-4,-16.45024993,-71.55718785,8179533.076,226946.9143,False, , ,0, , , , , , ,
TRACK,1.7.5-4,-16.45009109,-71.55704258,8179550.858,226962.2119,False, , ,0, , , , , , ,
TRACK,1.7.5-4,-16.45010447,-71.55702227,8179549.404,226964.4008,False, , ,0, , , , , , ,
TRACK,1.7.5-4,-16.44995349,-71.55689044,8179566.297,226978.2738,False, , ,0, , , , , , ,
TRACK,1.7.5-4,-16.4498575,-71.55698599,8179576.796,226967.9313,False, , ,0, , , , , , ,
TRACK,1.7.5-5, , ,10000000,11015404.5, , , , , , , , , , ,
TRACK,1.7.5-5,-16.44980219,-71.55692556,8179583.001,226974.3105,False, , ,0, , , , , , ,
TRACK,1.7.5-5,-16.44988672,-71.55683355,8179573.766,226984.2585,False, , ,0, , , , , , ,
TRACK,1.7.5-5,-16.44958586,-71.55655271,8179607.455,227013.8424,False, , ,0, , , , , , ,
TRACK,1.7.5-5,-16.44951277,-71.55665,8179615.415,227003.3459,False, , ,0, , , , , , ,
TRACK,1.7.5-6, , ,10000000,11015404.5, , , , , , , , , , ,
TRACK,1.7.5-6,-16.44948713,-71.55719803,8179617.514,226944.759,False, , ,0, , , , , , ,
TRACK,1.7.5-6,-16.44976647,-71.55694957,8179586.922,226971.6955,False, , ,0, , , , , , ,
TRACK,1.7.5-6,-16.44948176,-71.55667907,8179618.809,227000.1962,False, , ,0, , , , , , ,
TRACK,1.7.5-6,-16.44924101,-71.55695315,8179645.093,226970.5772,False, , ,0, , , , , , ,
TRACK,1.7.5-7, , ,10000000,11015404.5, , , , , , , , , , ,
TRACK,1.7.5-7,-16.44914855,-71.55730467,8179654.855,226932.891,False, , ,0, , , , , , ,
TRACK,1.7.5-7,-16.44932884,-71.55725635,8179634.959,226938.3066,False, , ,0, , , , , , ,
TRACK,1.7.5-7,-16.44944998,-71.55720444,8179621.618,226944.0216,False, , ,0, , , , , , ,
TRACK,1.7.5-7,-16.4492141,-71.55697247,8179648.046,226968.4754,False, , ,0, , , , , , ,
TRACK,1.7.5-7,-16.44888307,-71.55731762,8179684.229,226931.1358,False, , ,0, , , , , , ,
TRACK,1.7.5-7,-16.4488966,-71.5573375,8179682.703,226929.0311,False, , ,0, , , , , , ,
TRACK,1.7.6-1, , ,10000000,11015404.5, , , , , , , , , , ,
TRACK,1.7.6-1,-16.45182141,-71.5592226,8179356.343,226731.7263,False, , ,0, , , , , , ,
TRACK,1.7.6-1,-16.4517049,-71.55898513,8179369.563,226756.9339,False, , ,0, , , , , , ,
TRACK,1.7.6-1,-16.45073151,-71.55946159,8179476.686,226704.6659,False, , ,0, , , , , , ,
TRACK,1.7.6-1,-16.45072842,-71.55948473,8179476.996,226702.1888,False, , ,0, , , , , , ,
TRACK,1.7.6-1,-16.45075169,-71.55949671,8179474.403,226700.9425,False, , ,0, , , , , , ,
TRACK,1.7.6-1,-16.45148305,-71.55936381,8179393.613,226716.1654,False, , ,0, , , , , , ,
TRACK,1.7.6-2, , ,10000000,11015404.5, , , , , , , , , , ,
TRACK,1.7.6-2,-16.45204952,-71.55906244,8179331.305,226749.1572,False, , ,0, , , , , , ,
TRACK,1.7.6-2,-16.45251064,-71.55874155,8179280.687,226784.0864,False, , ,0, , , , , , ,
TRACK,1.7.6-2,-16.45235912,-71.55843039,8179297.883,226817.1177,False, , ,0, , , , , , ,
TRACK,1.7.6-2,-16.45185346,-71.55876833,8179353.409,226780.3044,False, , ,0, , , , , , ,
TRACK,1.7.6-2,-16.45172099,-71.55894985,8179367.83,226760.726,False, , ,0, , , , , , ,
TRACK,1.7.6-2,-16.45183142,-71.55917768,8179355.295,226736.5393,False, , ,0, , , , , , ,
TRACK,1.7.6-3, , ,10000000,11015404.5, , , , , , , , , , ,
TRACK,1.7.6-3,-16.45325175,-71.55834976,8179199.167,226826.983,False, , ,0, , , , , , ,
TRACK,1.7.6-3,-16.45305268,-71.55794301,8179221.757,226870.1604,False, , ,0, , , , , , ,
TRACK,1.7.6-3,-16.45265789,-71.55819833,8179265.119,226842.3288,False, , ,0, , , , , , ,
TRACK,1.7.6-3,-16.45238701,-71.55840487,8179294.829,226819.8831,False, , ,0, , , , , , ,
TRACK,1.7.6-3,-16.4525374,-71.55870982,8179277.767,226787.5142,False, , ,0, , , , , , ,
TRACK,1.7.6-4, , ,10000000,11015404.5, , , , , , , , , , ,
TRACK,1.7.6-4,-16.45357149,-71.55819493,8179163.977,226843.973,False, , ,0, , , , , , ,
TRACK,1.7.6-4,-16.4535441,-71.55757835,8179167.843,226909.8073,False, , ,0, , , , , , ,
TRACK,1.7.6-4,-16.45352596,-71.55756717,8179169.866,226910.9771,False, , ,0, , , , , , ,
TRACK,1.7.6-4,-16.45351227,-71.55756935,8179171.379,226910.7249,False, , ,0, , , , , , ,
TRACK,1.7.6-4,-16.45310643,-71.55789756,8179215.867,226875.0908,False, , ,0, , , , , , ,
TRACK,1.7.6-4,-16.45332144,-71.55833325,8179191.474,226828.8442,False, , ,0, , , , , , ,
TRACK,1.7.6-5, , ,10000000,11015404.5, , , , , , , , , , ,
TRACK,1.7.6-5,-16.45461941,-71.55834496,8179047.757,226829.4121,False, , ,0, , , , , , ,
TRACK,1.7.6-5,-16.45459675,-71.55831901,8179050.3,226832.1525,False, , ,0, , , , , , ,
TRACK,1.7.6-5,-16.45437545,-71.55828061,8179074.853,226835.9452,False, , ,0, , , , , , ,
TRACK,1.7.6-5,-16.45409366,-71.55863405,8179105.573,226797.7901,False, , ,0, , , , , , ,
TRACK,1.7.6-5,-16.45396812,-71.5587897,8179119.261,226780.9845,False, , ,0, , , , , , ,
TRACK,1.7.6-5,-16.45405198,-71.55899029,8179109.705,226759.6725,False, , ,0, , , , , , ,
TRACK,1.7.6-6, , ,10000000,11015404.5, , , , , , , , , , ,
TRACK,1.7.6-6,-16.45389144,-71.55874504,8179127.81,226785.6493,False, , ,0, , , , , , ,
TRACK,1.7.6-6,-16.45368752,-71.55824588,8179151.063,226838.6915,False, , ,0, , , , , , ,
TRACK,1.7.6-6,-16.4533581,-71.55842308,8179187.293,226819.2988,False, , ,0, , , , , , ,
TRACK,1.7.6-6,-16.45358475,-71.55894652,8179161.493,226763.6939,False, , ,0, , , , , , ,
TRACK,1.7.6-7, , ,10000000,11015404.5, , , , , , , , , , ,
TRACK,1.7.6-7,-16.45384064,-71.55915175,8179132.885,226742.1265,False, , ,0, , , , , , ,
TRACK,1.7.6-7,-16.45399454,-71.55908137,8179115.941,226749.8614,False, , ,0, , , , , , ,
TRACK,1.7.6-7,-16.45392333,-71.55884886,8179124.14,226774.6017,False, , ,0, , , , , , ,
TRACK,1.7.6-7,-16.45382533,-71.55889136,8179134.932,226769.9238,False, , ,0, , , , , , ,
TRACK,1.7.6-7,-16.4535899,-71.5590234,8179160.819,226755.4871,False, , ,0, , , , , , ,
TRACK,1.7.6-7,-16.45366784,-71.5592339,8179151.904,226733.1071,False, , ,0, , , , , , ,
TRACK,1.7.6-8, , ,10000000,11015404.5, , , , , , , , , , ,
TRACK,1.7.6-8,-16.45361577,-71.55923246,8179157.672,226733.188,False, , ,0, , , , , , ,
TRACK,1.7.6-8,-16.45354606,-71.5590209,8179165.676,226755.6923,False, , ,0, , , , , , ,
TRACK,1.7.6-8,-16.45334587,-71.55912547,8179187.698,226744.2406,False, , ,0, , , , , , ,
TRACK,1.7.6-8,-16.45316667,-71.55919641,8179207.442,226736.4105,False, , ,0, , , , , , ,
TRACK,1.7.6-8,-16.45278099,-71.55935828,8179249.922,226718.5754,False, , ,0, , , , , , ,
TRACK,1.7.6-8,-16.45287403,-71.5595586,8179239.35,226697.3049,False, , ,0, , , , , , ,
TRACK,1.7.6-8,-16.45335228,-71.55936566,8179186.664,226718.5882,False, , ,0, , , , , , ,
TRACK,1.7.6-9, , ,10000000,11015404.5, , , , , , , , , , ,
TRACK,1.7.6-9,-16.45335626,-71.55906399,8179186.63,226750.823,False, , ,0, , , , , , ,
TRACK,1.7.6-9,-16.45352946,-71.55897024,8179167.582,226761.0816,False, , ,0, , , , , , ,
TRACK,1.7.6-9,-16.45340695,-71.55866838,8179181.553,226793.1601,False, , ,0, , , , , , ,
TRACK,1.7.6-9,-16.45329476,-71.55843776,8179194.286,226817.6418,False, , ,0, , , , , , ,
TRACK,1.7.6-9,-16.45295714,-71.55861402,8179231.426,226798.3374,False, , ,0, , , , , , ,
TRACK,1.7.6-9,-16.45308023,-71.55891732,8179217.389,226766.1066,False, , ,0, , , , , , ,
TRACK,1.7.6-9,-16.45318075,-71.5591325,8179205.969,226743.2576,False, , ,0, , , , , , ,
TRACK,1.7.6-10, , ,10000000,11015404.5, , , , , , , , , , ,
TRACK,1.7.6-10,-16.45312706,-71.5591598,8179211.877,226740.2656,False, , ,0, , , , , , ,
TRACK,1.7.6-10,-16.45303122,-71.55891469,8179222.819,226766.318,False, , ,0, , , , , , ,
TRACK,1.7.6-10,-16.45292437,-71.55864975,8179235.006,226794.474,False, , ,0, , , , , , ,
TRACK,1.7.6-10,-16.45268072,-71.55876219,8179261.829,226782.1199,False, , ,0, , , , , , ,
TRACK,1.7.6-10,-16.45258201,-71.55881952,8179272.68,226775.8563,False, , ,0, , , , , , ,
TRACK,1.7.6-10,-16.45278139,-71.55930899,8179249.944,226723.8422,False, , ,0, , , , , , ,
TRACK,1.7.6-11, , ,10000000,11015404.5, , , , , , , , , , ,
TRACK,1.7.6-11,-16.45262726,-71.55937526,8179266.919,226716.5459,False, , ,0, , , , , , ,
TRACK,1.7.6-11,-16.45272819,-71.55932462,8179255.814,226722.0976,False, , ,0, , , , , , ,
TRACK,1.7.6-11,-16.45254991,-71.55884146,8179276.204,226773.4679,False, , ,0, , , , , , ,
TRACK,1.7.6-11,-16.45234624,-71.5589722,8179298.576,226759.2138,False, , ,0, , , , , , ,
TRACK,1.7.6-11,-16.45223112,-71.55905632,8179311.208,226750.0663,False, , ,0, , , , , , ,
TRACK,1.7.6-11,-16.45232892,-71.55930329,8179300.046,226723.8175,False, , ,0, , , , , , ,
TRACK,1.7.6-11,-16.45242243,-71.55948685,8179289.445,226704.3372,False, , ,0, , , , , , ,
