"UNICODE","P","D","L","V","LATITUDE","LONGITUDE"
"1.10.16.69A",1,10,"16","69A",-16.3971349107596,-71.4938321913011
"1.10.2.1015A",1,10,"2","1015A",-16.398730862557,-71.5104855767568
"1.10.2.1054A",1,10,"2","1054A",-16.4004538851719,-71.5090517703717
"1.10.2.1065B",1,10,"2","1065B",-16.3999385286471,-71.5090323488464
"1.10.2.1065A",1,10,"2","1065A",-16.3999385286471,-71.5090323488464
"1.10.2.1067A",1,10,"2","1067A",-16.4012157889016,-71.5080236223504
"1.10.2.1076A",1,10,"2","1076A",-16.4020236905329,-71.5075047855356
"1.10.2.1080A",1,10,"2","1080A",-16.4022157295187,-71.5078933392217
"1.10.2.1083A",1,10,"2","1083A",-16.4020239782488,-71.5080312161696
"1.10.2.1086A",1,10,"2","1086A",-16.40182785368,-71.5081501855848
"1.10.2.1088A",1,10,"2","1088A",-16.401718923452,-71.5082164374053
"1.10.2.1095B",1,10,"2","1095B",-16.4013193730966,-71.5081945991514
"1.10.2.1095A",1,10,"2","1095A",-16.4013193730966,-71.5081945991514
"1.10.2.111A",1,10,"2","111A",-16.406181916517,-71.513855644447
"1.10.2.1117A",1,10,"2","1117A",-16.4026061908346,-71.5076424822538
"1.10.2.1121A",1,10,"2","1121A",-16.4033246339272,-71.5066801215277
"1.10.2.1131A",1,10,"2","1131A",-16.4041710913534,-71.5062668082978
"1.10.2.1133A",1,10,"2","1133A",-16.4042862020805,-71.5064291084825
"1.10.2.1133B",1,10,"2","1133B",-16.4042862020805,-71.5064291084825
"1.10.2.1135A",1,10,"2","1135A",-16.4042560467839,-71.5065791124893
"1.10.2.1136A",1,10,"2","1136A",-16.404124257698,-71.5066702990977
"1.10.2.1151A",1,10,"2","1151A",-16.4048152085374,-71.5057128345661
"1.10.2.1154A",1,10,"2","1154A",-16.4050968963342,-71.5054894054158
"1.10.2.1156A",1,10,"2","1156A",-16.4052856739662,-71.5053754099024
"1.10.2.1165A",1,10,"2","1165A",-16.4051939592392,-71.5059864173547
"1.10.2.1168B",1,10,"2","1168B",-16.4049389837381,-71.5061317168335
"1.10.2.1168A",1,10,"2","1168A",-16.4049389837381,-71.5061317168335
"1.10.2.117D",1,10,"2","117D",-16.4062990439929,-71.5133622864304
