"UNICODE","P","D","L","V","LATITUDE","LONGITUDE","block","I_TRIAT","P_TRIAT","FECHA","CICLO"
"1.7.1.34",1,7,"1","34",-16.4467067790238,-71.5616642857195,"4",NA,NA,"24/07/2004","2"
"1.7.1.35",1,7,"1","35",-16.4467661291382,-71.5617342014987,"4",NA,NA,"19/11/2003","1"
"1.7.1.35",1,7,"1","35",-16.4467661291382,-71.5617342014987,"4",NA,NA,"25/07/2004","2"
"1.7.1.36",1,7,"1","36",-16.446830341038,-71.5617910258633,"4",NA,NA,"19/11/2003","1"
"1.7.1.36",1,7,"1","36",-16.446830341038,-71.5617910258633,"4",NA,NA,"25/07/2004","2"
"1.7.1.37",1,7,"1","37",-16.4468967191806,-71.5618401126583,"4",NA,NA,"19/11/2003","1"
"1.7.1.37",1,7,"1","37",-16.4468967191806,-71.5618401126583,"4",NA,NA,"25/07/2004","2"
"1.7.1.38",1,7,"1","38",-16.4469493449437,-71.5619090017912,"4",NA,NA,"19/11/2003","1"
"1.7.1.38",1,7,"1","38",-16.4469493449437,-71.5619090017912,"4",NA,NA,"11/12/2004","2"
"1.7.1.39",1,7,"1","39",-16.447027187476,-71.5619870250743,"4",NA,NA,"19/11/2003","1"
"1.7.1.39",1,7,"1","39",-16.447027187476,-71.5619870250743,"4",NA,NA,"24/07/2004","2"
"1.7.1.4",1,7,"1","4",-16.4463494114187,-71.5624735728478,"1",NA,NA,"24/07/2004","2"
"1.7.1.4",1,7,"1","4",-16.4463494114187,-71.5624735728478,"1",NA,NA,"18/11/2003","1"
"1.7.1.40",1,7,"1","40",-16.4471096233573,-71.5620446737164,"4",NA,NA,"19/11/2003","1"
"1.7.1.40",1,7,"1","40",-16.4471096233573,-71.5620446737164,"4",NA,NA,"24/07/2004","2"
"1.7.1.41",1,7,"1","41",-16.4472144665316,-71.5619269602329,"4",NA,NA,"19/11/2003","1"
"1.7.1.41",1,7,"1","41",-16.4472144665316,-71.5619269602329,"4",NA,NA,"25/07/2004","2"
"1.7.1.42",1,7,"1","42",-16.4471318984369,-71.5618717849562,"4",NA,NA,"19/11/2003","1"
"1.7.1.42",1,7,"1","42",-16.4471318984369,-71.5618717849562,"4",NA,NA,"24/07/2004","2"
"1.7.1.43",1,7,"1","43",-16.4470609022441,-71.5618084382764,"4",NA,NA,"25/07/2004","2"
"1.7.1.43",1,7,"1","43",-16.4470609022441,-71.5618084382764,"4",NA,NA,"19/11/2003","1"
"1.7.1.44",1,7,"1","44",-16.4468559308437,-71.5616183280867,"4",NA,NA,"24/07/2004","2"
"1.7.1.44",1,7,"1","44",-16.4468559308437,-71.5616183280867,"4",NA,NA,"19/11/2003","1"
"1.7.1.45",1,7,"1","45",-16.4468000039779,-71.5615666037123,"4",NA,NA,"19/11/2003","1"
"1.7.1.45",1,7,"1","45",-16.4468000039779,-71.5615666037123,"4",NA,NA,"24/07/2004","2"
"1.7.1.46",1,7,"1","46",-16.4467151857177,-71.561529847407,"4",NA,NA,"18/11/2003","1"
"1.7.1.46",1,7,"1","46",-16.4467151857177,-71.561529847407,"4",NA,NA,"25/07/2004","2"
"1.7.1.47",1,7,"1","47",-16.4468210441307,-71.5614084466996,"5",NA,NA,"24/07/2004","2"
"1.7.1.47",1,7,"1","47",-16.4468210441307,-71.5614084466996,"5",NA,NA,"19/11/2003","1"
"1.7.1.48",1,7,"1","48",-16.4469164747904,-71.5614777029647,"5",NA,NA,"19/11/2003","1"
"1.7.1.48",1,7,"1","48",-16.4469164747904,-71.5614777029647,"5",NA,NA,"11/12/2004","2"
"1.7.1.49",1,7,"1","49",-16.4469954233784,-71.5615589740051,"5",NA,NA,"19/11/2003","1"
"1.7.1.49",1,7,"1","49",-16.4469954233784,-71.5615589740051,"5",NA,NA,"25/07/2004","2"
"1.7.1.5",1,7,"1","5",-16.4462939030596,-71.5624216701003,"1",NA,NA,"18/11/2003","1"
"1.7.1.5",1,7,"1","5",-16.4462939030596,-71.5624216701003,"1",NA,NA,"24/07/2004","2"
"1.7.1.50",1,7,"1","50",-16.4470947845015,-71.5616307236892,"5",NA,NA,"24/07/2004","2"
"1.7.1.50",1,7,"1","50",-16.4470947845015,-71.5616307236892,"5",NA,NA,"19/11/2003","1"
"1.7.1.51",1,7,"1","51",-16.4471805034195,-71.5616846117235,"5",NA,NA,"24/07/2004","2"
"1.7.1.51",1,7,"1","51",-16.4471805034195,-71.5616846117235,"5",NA,NA,"19/11/2003","1"
"1.7.1.52",1,7,"1","52",-16.4472953728399,-71.5617811926761,"5",NA,NA,"24/07/2004","2"
"1.7.1.52",1,7,"1","52",-16.4472953728399,-71.5617811926761,"5",NA,NA,"19/11/2003","1"
"1.7.1.53",1,7,"1","53",-16.4474068465251,-71.5616837835012,"5",NA,NA,"25/07/2004","2"
