"UNICODE","P","D","L","V","LATITUDE","LONGITUDE","block","I_TRIAT","P_TRIAT","FECHA","CICLO"
"1.28.1.6",1,28,"1","6",-16.5673527777777,-71.4379453713657,"1",NA,NA,NA,NA
"1.28.1.60",1,28,"1","60",-16.5682944444444,-71.4394661200097,"1",NA,NA,NA,NA
"1.28.1.61",1,28,"1","61",-16.5682868105628,-71.4395787799995,"1",NA,NA,NA,NA
"1.28.1.62",1,28,"1","62",-16.5683356095496,-71.4397720825936,"1",NA,NA,NA,NA
"1.28.1.63",1,28,"1","63",-16.5680556738776,-71.4398037938075,"1",NA,NA,NA,NA
"1.28.1.64",1,28,"1","64",-16.5679303435272,-71.4397748188858,"1",NA,NA,NA,NA
"1.28.1.65",1,28,"1","65",-16.5677865551879,-71.4397256880567,"1",NA,NA,NA,NA
"1.28.1.66",1,28,"1","66",-16.5675377047321,-71.4398935597052,"1",NA,NA,NA,NA
"1.28.1.67",1,28,"1","67",-16.567597826265,-71.4400332730711,"1",NA,NA,NA,NA
"1.28.1.68",1,28,"1","68",-16.5678063276668,-71.4399272115284,"1",NA,NA,NA,NA
"1.28.1.69",1,28,"1","69",-16.5678837197687,-71.4401288346213,"1",NA,NA,NA,NA
"1.28.1.7",1,28,"1","7",-16.5675436840414,-71.4381854413136,"1",NA,NA,NA,NA
"1.28.1.70",1,28,"1","70",-16.5678989896701,-71.4406663093217,"1",NA,NA,NA,NA
"1.28.1.8",1,28,"1","8",-16.5673632389688,-71.4383230776063,"1",NA,NA,NA,NA
"1.28.1.9",1,28,"1","9",-16.5680322713495,-71.4384936320447,"1",NA,NA,NA,NA
"1.28.2.1",1,28,"2","1",-16.564006041517,-71.4599904682684,"1",NA,NA,NA,NA
"1.28.2.10",1,28,"2","10",-16.5640257542747,-71.4593638888888,"3",NA,NA,NA,NA
"1.28.2.11",1,28,"2","11",-16.5637322463799,-71.4589071041445,"3",NA,NA,NA,NA
"1.28.2.12",1,28,"2","12",-16.5637189346813,-71.4587073275235,"3",NA,NA,NA,NA
"1.28.2.13",1,28,"2","13",-16.5637361111111,-71.4585726555901,"3",NA,NA,NA,NA
"1.28.2.14",1,28,"2","14",-16.5637024553049,-71.4580921162392,"4",NA,NA,NA,NA
"1.28.2.15",1,28,"2","15",-16.5636519355832,-71.4578083333333,"4",NA,NA,NA,NA
"1.28.2.16",1,28,"2","16",-16.5636970843614,-71.4576377687911,"4",NA,NA,NA,NA
"1.28.2.17",1,28,"2","17",-16.5635669121282,-71.4573228292136,"4",NA,NA,NA,NA
"1.28.2.18",1,28,"2","18",-16.564375,-71.4555516889268,"5",NA,NA,NA,NA
"1.28.2.19",1,28,"2","19",-16.5640388888888,-71.4565962677935,"6",NA,NA,NA,NA
"1.28.2.2",1,28,"2","2",-16.5637080115631,-71.4596037320604,"2",NA,NA,NA,NA
"1.28.2.20",1,28,"2","20",-16.5637898562596,-71.4569477806895,"6",NA,NA,NA,NA
"1.28.2.21",1,28,"2","21",-16.5637666666666,-71.4570368703061,"6",NA,NA,NA,NA
"1.28.2.22",1,28,"2","22",-16.5637698822189,-71.457264666331,"6",NA,NA,NA,NA
"1.28.2.23",1,28,"2","23",-16.563904250738,-71.4575583333333,"6",NA,NA,NA,NA
"1.28.2.24",1,28,"2","24",-16.5640055555555,-71.457185284075,"6",NA,NA,NA,NA
"1.28.2.25",1,28,"2","25",-16.5641787362407,-71.4572952329514,"6",NA,NA,NA,NA
"1.28.2.26",1,28,"2","26",-16.564131734137,-71.4574638888889,"6",NA,NA,NA,NA
"1.28.2.27",1,28,"2","27",-16.5641,-71.4577209276725,"6",NA,NA,NA,NA
"1.28.2.28",1,28,"2","28",-16.5640222222222,-71.4579913273972,"6",NA,NA,NA,NA
"1.28.2.29",1,28,"2","29",-16.5639361111111,-71.4578995612744,"6",NA,NA,NA,NA
"1.28.2.3",1,28,"2","3",-16.5634346041793,-71.4588353109898,"2",NA,NA,NA,NA
"1.28.2.30",1,28,"2","30",-16.5655437613176,-71.4540102806607,"7",NA,NA,NA,NA
"1.28.2.4",1,28,"2","4",-16.5635477112323,-71.4586454799001,"2",NA,NA,NA,NA
"1.28.2.5",1,28,"2","5",-16.5634102345348,-71.4584472222222,"2",NA,NA,NA,NA
"1.28.2.6",1,28,"2","6",-16.5635608305889,-71.4583055555555,"2",NA,NA,NA,NA
"1.28.2.7",1,28,"2","7",-16.5639543739315,-71.4583505495029,"3",NA,NA,NA,NA
"1.28.2.8",1,28,"2","8",-16.5640198633025,-71.4587222222222,"3",NA,NA,NA,NA
"1.28.2.9",1,28,"2","9",-16.5641939820641,-71.4589777777777,"3",NA,NA,NA,NA
"1.28.3.1",1,28,"3","1",-16.5694850953948,-71.4500083333333,"1",NA,NA,NA,NA
"1.28.3.10",1,28,"3","10",-16.5707157909656,-71.4475101097679,"3",NA,NA,NA,NA
"1.28.3.100",1,28,"3","100",-16.5698814389802,-71.4579107365018,"13",NA,NA,NA,NA
"1.28.3.101",1,28,"3","101",-16.5689888888888,-71.459934082423,"14",NA,NA,NA,NA
"1.28.3.102",1,28,"3","102",-16.5689836912459,-71.4593853384513,"15",NA,NA,NA,NA
"1.28.3.103",1,28,"3","103",-16.5692083333333,-71.4589804213417,"15","",0,"10/13/09",2
"1.28.3.103",1,28,"3","103",-16.5692083333333,-71.4589804213417,"15","",0,"05/18/09",1
"1.28.3.104",1,28,"3","104",-16.5696303726999,-71.4578510821845,"15","",0,"05/19/09",1
"1.28.3.104",1,28,"3","104",-16.5696303726999,-71.4578510821845,"15","",0,"10/13/09",2
"1.28.3.105",1,28,"3","105",-16.5696788541959,-71.4577517377219,"15","",0,"05/25/09",1
"1.28.3.105",1,28,"3","105",-16.5696788541959,-71.4577517377219,"15","",0,"10/12/2009",2
"1.28.3.106",1,28,"3","106",-16.5697244643225,-71.4576905855453,"15","",0,"10/12/2009",2
"1.28.3.106",1,28,"3","106",-16.5697244643225,-71.4576905855453,"15","",0,"05/19/09",1
"1.28.3.107",1,28,"3","107",-16.5697799705201,-71.4575860745931,"15","",0,"10/12/2009",2
"1.28.3.107",1,28,"3","107",-16.5697799705201,-71.4575860745931,"15","",0,"05/25/09",1
"1.28.3.108",1,28,"3","108",-16.5698173643455,-71.4574361111111,"15","",0,"05/18/09",1
"1.28.3.108",1,28,"3","108",-16.5698173643455,-71.4574361111111,"15","",0,"10/13/09",2
"1.28.3.109",1,28,"3","109",-16.5699758304709,-71.4571174692761,"15","",0,"10/13/09",2
"1.28.3.109",1,28,"3","109",-16.5699758304709,-71.4571174692761,"15","",0,"05/18/09",1
"1.28.3.11",1,28,"3","11",-16.5705971538107,-71.4461895178784,"3","",0,"10/05/2009",2
"1.28.3.11",1,28,"3","11",-16.5705971538107,-71.4461895178784,"3","",0,"05/20/09",1
"1.28.3.110",1,28,"3","110",-16.5692700516384,-71.456664123704,"15",NA,NA,NA,NA
"1.28.3.111",1,28,"3","111",-16.5694203071348,-71.4563472222222,"15","",0,"05/18/09",1
"1.28.3.111",1,28,"3","111",-16.5694203071348,-71.4563472222222,"15","",0,"10/13/09",2
"1.28.3.112",1,28,"3","112",-16.5695694444444,-71.4560249109243,"15",NA,NA,NA,NA
"1.28.3.113",1,28,"3","113",-16.5698548606542,-71.4561385878757,"15","",0,"10/07/2009",2
"1.28.3.114",1,28,"3","114",-16.5702535925259,-71.4563847812874,"15","",0,"05/22/09",1
"1.28.3.115",1,28,"3","115",-16.5702074606081,-71.4565051761933,"15","",0,"10/06/2009",2
"1.28.3.115",1,28,"3","115",-16.5702074606081,-71.4565051761933,"15","",0,"05/22/09",1
"1.28.3.116",1,28,"3","116",-16.5701621059247,-71.4566374748884,"15","",0,"10/13/09",2
"1.28.3.117",1,28,"3","117",-16.5700436379856,-71.4569211708807,"15","",0,"10/13/09",2
"1.28.3.118",1,28,"3","118",-16.5694223291446,-71.456570803942,"15","",0,"05/20/09",1
"1.28.3.119",1,28,"3","119",-16.5693180352971,-71.456059566435,"16","",0,"05/20/09",1
"1.28.3.119",1,28,"3","119",-16.5693180352971,-71.456059566435,"16","",0,"10/13/09",2
"1.28.3.12",1,28,"3","12",-16.5699100207283,-71.4460478505136,"3","",0,"10/13/09",2
"1.28.3.120",1,28,"3","120",-16.5693822273282,-71.455857529529,"16","",0,"05/20/09",1
"1.28.3.121",1,28,"3","121",-16.5694496633114,-71.4556739921316,"17",NA,NA,NA,NA
"1.28.3.122",1,28,"3","122",-16.5693507045233,-71.4554771682828,"17",NA,NA,NA,NA
"1.28.3.123",1,28,"3","123",-16.5696,-71.455357567473,"17",NA,NA,NA,NA
"1.28.3.124",1,28,"3","124",-16.5694735481474,-71.4552,"17","",0,"05/21/09",1
"1.28.3.124",1,28,"3","124",-16.5694735481474,-71.4552,"17","",0,"10/07/2009",2
"1.28.3.125",1,28,"3","125",-16.5696694444444,-71.4552012862667,"17","",0,"05/25/09",1
"1.28.3.126",1,28,"3","126",-16.569783455197,-71.4546781294283,"18","",0,"10/12/2009",2
"1.28.3.126",1,28,"3","126",-16.569783455197,-71.4546781294283,"18","",0,"05/19/09",1
"1.28.3.127",1,28,"3","127",-16.5698583333333,-71.4545216091981,"18",NA,NA,NA,NA
"1.28.3.128",1,28,"3","128",-16.5699253719911,-71.4543792376199,"18",NA,NA,NA,NA
"1.28.3.129",1,28,"3","129",-16.5700203471939,-71.4541973261284,"18","3",12,"05/19/09",1
"1.28.3.13",1,28,"3","13",-16.5707143197343,-71.444070604493,"4","",0,"10/05/2009",2
"1.28.3.130",1,28,"3","130",-16.5700952310959,-71.4540277777777,"18","",0,"05/22/09",1
"1.28.3.131",1,28,"3","131",-16.5695080506755,-71.4537199365222,"18",NA,NA,NA,NA
"1.28.3.132",1,28,"3","132",-16.5692113097731,-71.4536564562102,"19",NA,NA,NA,NA
"1.28.3.133",1,28,"3","133",-16.5682144084506,-71.4531813908229,"19","",0,"05/18/09",1
"1.28.3.133",1,28,"3","133",-16.5682144084506,-71.4531813908229,"19","",0,"10/07/2009",2
"1.28.3.134",1,28,"3","134",-16.5693141626471,-71.4534465389975,"20","",0,"05/19/09",1
