type;ident;lat;long;y_proj;x_proj;new_seg;display;color;altitude;depth;temp;time;model;filename;ltime;;;;;;;;;;;;
TRACK;1.3.78-7;-16.34448356;-71.54824676;-1934529.591;2837678.778;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;Los Sauces y Pampita Zeballos; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;Los Sauces y Pampita Zeballos;-16.39140814;-71.54744213;-1940051.508;2837159.171;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;Los Sauces y Pampita Zeballos;-16.3923795;-71.54712208;-1940169.628;2837182.796;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;Los Sauces y Pampita Zeballos;-16.39218146;-71.54620055;-1940157.964;2837289.863;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;Los Sauces y Pampita Zeballos;-16.39196431;-71.54611264;-1940133.565;2837302.662;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;Los Sauces y Pampita Zeballos;-16.39176129;-71.5459973;-1940111.169;2837318.386;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;Los Sauces y Pampita Zeballos;-16.39151227;-71.54586654;-1940083.566;2837336.459;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;Los Sauces y Pampita Zeballos;-16.39136337;-71.54582859;-1940066.554;2837342.703;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;Los Sauces y Pampita Zeballos;-16.39076592;-71.54611242;-1939992.806;2837318.31;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;Los Sauces y Pampita Zeballos;-16.39024068;-71.54624174;-1939929.484;2837310.493;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;Los Sauces y Pampita Zeballos;-16.38939936;-71.54862307;-1939800.702;2837051.457;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;Los Sauces y Pampita Zeballos;-16.39116271;-71.54760072;-1940020.684;2837144.389;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-1; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-1;-16.39145493;-71.55088671;-1940013.662;2836768.01;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-1;-16.39156596;-71.55083631;-1940027.337;2836772.277;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-1;-16.39166;-71.55081158;-1940038.694;2836773.856;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-1;-16.39178979;-71.55080653;-1940054.003;2836772.737;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-1;-16.39178144;-71.55059115;-1940055.731;2836797.265;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-1;-16.39175594;-71.55035477;-1940055.71;2836824.399;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-1;-16.39170434;-71.55006308;-1940053.319;2836858.143;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-1;-16.39168353;-71.54997457;-1940051.989;2836868.45;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-1;-16.39150988;-71.55004273;-1940030.735;2836862.985;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-1;-16.39137422;-71.55011957;-1940013.834;2836856.04;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-1;-16.39123445;-71.55020447;-1939996.349;2836848.236;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-1;-16.39117074;-71.55025393;-1939988.244;2836843.459;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-1;-16.39128024;-71.55043255;-1939998.858;2836821.78;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-1;-16.39126122;-71.5504437;-1939996.483;2836820.763;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-1;-16.39121651;-71.55058479;-1939989.457;2836805.349;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-1;-16.39124075;-71.55065941;-1939991.366;2836796.573;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-1;-16.3911862;-71.55070816;-1939984.345;2836791.757;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-1;-16.39136905;-71.55095449;-1940002.722;2836761.444;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-2; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-2;-16.39205821;-71.55088583;-1940084.531;2836760.247;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-2;-16.39205617;-71.55079941;-1940085.379;2836770.072;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-2;-16.39206322;-71.55069019;-1940087.581;2836782.363;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-2;-16.39206139;-71.5505853;-1940088.686;2836794.28;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-2;-16.3920606;-71.55051519;-1940089.476;2836802.24;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-2;-16.39207519;-71.55050315;-1940091.34;2836803.414;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-2;-16.39207228;-71.55045423;-1940091.614;2836808.998;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-2;-16.39208244;-71.55044983;-1940092.863;2836809.366;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-2;-16.39211119;-71.55045582;-1940096.165;2836808.311;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-2;-16.39212824;-71.55045733;-1940098.148;2836807.917;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-2;-16.39215354;-71.55044577;-1940101.265;2836808.898;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-2;-16.39216745;-71.55042124;-1940103.208;2836811.499;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-2;-16.39216884;-71.55033443;-1940104.463;2836821.323;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-2;-16.39215493;-71.55017129;-1940104.883;2836840.001;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-2;-16.39211546;-71.55017269;-1940100.229;2836840.357;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-2;-16.39200417;-71.55019904;-1940086.826;2836838.82;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-2;-16.39176658;-71.55024078;-1940058.394;2836837.184;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-2;-16.39180121;-71.5505501;-1940058.57;2836801.662;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-2;-16.3918179;-71.55085111;-1940056.743;2836767.316;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-2;-16.391969;-71.55088123;-1940074.112;2836761.932;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-3; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-3;-16.39204209;-71.55010061;-1940092.517;2836849.485;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-3;-16.39201908;-71.54995669;-1940091.626;2836866.103;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-3;-16.39187496;-71.54995121;-1940074.768;2836868.603;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-3;-16.3917259;-71.54997192;-1940056.998;2836868.198;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-3;-16.39176033;-71.5501605;-1940058.67;2836846.368;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-4; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-4;-16.39244657;-71.55085926;-1940130.481;2836758.197;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-4;-16.39250196;-71.55083733;-1940137.262;2836759.962;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-4;-16.39256818;-71.55079169;-1940145.615;2836764.273;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-4;-16.39262236;-71.55073752;-1940152.66;2836769.709;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-4;-16.39267974;-71.5506664;-1940160.294;2836777.026;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-4;-16.39274558;-71.55061504;-1940168.674;2836781.991;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-4;-16.3927999;-71.55054914;-1940175.883;2836788.753;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-4;-16.39288576;-71.55041383;-1940187.67;2836802.976;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-4;-16.39296851;-71.55027108;-1940199.186;2836818.082;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-4;-16.39309508;-71.55008286;-1940216.42;2836837.772;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-4;-16.39309161;-71.5500717;-1940216.153;2836839.084;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-4;-16.39307431;-71.55004914;-1940214.405;2836841.867;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-4;-16.39305353;-71.55003202;-1940212.18;2836844.078;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-4;-16.39305005;-71.55002638;-1940211.843;2836844.763;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-4;-16.39302922;-71.55001107;-1940209.588;2836846.771;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-4;-16.39302574;-71.55000727;-1940209.227;2836847.247;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-4;-16.3929909;-71.54999529;-1940205.286;2836849.059;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-4;-16.39295069;-71.54998857;-1940200.648;2836850.345;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-4;-16.39290675;-71.54998722;-1940195.504;2836851.071;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-4;-16.39283935;-71.54999832;-1940187.447;2836850.691;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-4;-16.392834;-71.55013019;-1940185.16;2836835.81;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-4;-16.39288739;-71.55012932;-1940191.441;2836835.212;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-4;-16.39287679;-71.55022137;-1940189.038;2836824.913;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-4;-16.39283759;-71.55021336;-1940184.535;2836826.333;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-4;-16.3928143;-71.55030593;-1940180.635;2836816.141;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-4;-16.39276563;-71.55029809;-1940175.017;2836817.665;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-4;-16.39271114;-71.55029973;-1940168.596;2836818.189;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-4;-16.39262306;-71.55031857;-1940158.013;2836817.201;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-4;-16.39261751;-71.55027619;-1940157.895;2836822.078;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-4;-16.39271296;-71.55025958;-1940169.315;2836822.717;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-4;-16.39271488;-71.55015652;-1940170.837;2836834.376;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-4;-16.39280354;-71.55016368;-1940181.161;2836832.409;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-4;-16.39282148;-71.55014318;-1940183.526;2836834.5;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-4;-16.39281969;-71.55000528;-1940185.051;2836850.158;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-4;-16.39270588;-71.55002482;-1940171.438;2836849.426;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-4;-16.39254139;-71.55005894;-1940151.687;2836847.701;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-4;-16.39244537;-71.55008407;-1940140.093;2836846.105;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-4;-16.39227852;-71.55011029;-1940120.166;2836845.306;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-4;-16.39216987;-71.55015572;-1940106.833;2836841.572;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-4;-16.39217784;-71.55028321;-1940106.165;2836827.013;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-4;-16.39218381;-71.55037275;-1940105.74;2836816.783;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-4;-16.39218779;-71.5504801;-1940104.856;2836804.559;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-4;-16.39208553;-71.55048513;-1940092.782;2836805.323;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-4;-16.39207925;-71.55053339;-1940091.437;2836799.932;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-4;-16.39207154;-71.5506224;-1940089.412;2836789.941;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-4;-16.39207713;-71.55087463;-1940086.895;2836761.271;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-4;-16.39238489;-71.55087766;-1940123.005;2836756.916;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-5; ; ;-1.516416327;20763369.87; ; ; ; ; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-5;-16.39290082;-71.54995828;-1940195.171;2836854.43;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-5;-16.39294519;-71.54995713;-1940200.397;2836853.981;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-5;-16.39301648;-71.54996409;-1940208.683;2836852.263;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-5;-16.39307615;-71.5499784;-1940215.512;2836849.863;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-5;-16.39313707;-71.55001361;-1940222.223;2836845.077;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-5;-16.39316903;-71.54998729;-1940226.309;2836847.645;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-5;-16.39321129;-71.5498968;-1940232.411;2836857.353;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-5;-16.39323762;-71.54980258;-1940236.69;2836867.692;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-5;-16.39325708;-71.5497422;-1940239.735;2836874.284;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-5;-16.39326611;-71.54966622;-1940241.751;2836882.781;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-5;-16.39314255;-71.54967093;-1940227.18;2836883.858;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-5;-16.39306721;-71.54967381;-1940218.295;2836884.514;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
TRACK;1.3.2-5;-16.39293035;-71.54969189;-1940201.992;2836884.248;False; ; ;0; ; ; ; ; ; ;;;;;;;;;;;;
