"","UNICODE","ESTA_CUANTIS","ESTA_SENSIS","ESTA_ESTRATEGIAS","T_Cuantis","C_Cuantis","R_Cuantis","DES_Cuantis","LV_Cuantis","LP_Cuantis","P_Sensis","RP_Sensis","C_Sensis","R_Sensis","DES_Sensis","LV_Sensis","LP_Sensis","V_Sensis","LATITUD","LONGITUD","LOCALIDAD","MZ","ESTRATEGIA","CLUSTER","CUADRUPLET","STATUS_C1_MINSA","in_tri_C1","pe_tri_C1","pos_C1","STATUS_C2_MINSA","in_tri_C2","pe_tri_C2","pos_C2","T","R","C","DES","LP","LV","P","V","STATUS","BD_MINSA","PROG_OLVIDO","FECHA_CUANTI","APERTURADA_DIA","DIAS_PRI_VISITA_TRAT","DIAS_PRI_PROG_TRAT","VIV_PROG_NUNCA_TRAT","MINUTOS_ROCIADO","ETAPA_ROCIADO","sampleA","sampleB","sampleC","sampleD","sampleE","sampleF","NUMRES","IN_AMB","ESTRATEGIA2"
"746","1.1.23.133A",1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,-16.3781791158117,-71.5295158965429,"VILLA EL CONQUISTADOR II",7,"Control",11,5,"TN",NA,NA,0,"T",NA,NA,0,1,1,1,0,0,0,0,0,1,0,0,"2015-06-18",1,9,0,NA,51,"fuera de tiempo",1,1,1,1,1,1,6,7,"Control"
"747","1.1.23.134",1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-16.378186593686,-71.5295944722314,"VILLA EL CONQUISTADOR II",7,"Control",11,5,"TN",NA,NA,0,"T",NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,"2015-06-09",0,0,0,NA,26,"ataque",1,1,1,1,1,1,4,4,"Control"
"748","1.1.23.14",1,1,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,-16.3783062997255,-71.5306512804741,"VILLA EL CONQUISTADOR II",2,"Adv.Planning",10,12,"TN",NA,NA,0,"T",NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,"2015-06-03",0,0,0,NA,29,"ataque",1,1,1,1,1,1,1,2,"Adv.Planning"
"749","1.1.23.15",1,1,1,1,0,0,0,0,0,2,0,2,1,0,0,0,0,-16.3781794960303,-71.5304619834228,"VILLA EL CONQUISTADOR II",2,"Adv.Planning",10,12,"TN",NA,NA,0,"T",NA,NA,0,1,1,1,0,0,0,0,0,1,0,0,"2015-06-18",0,15,3,NA,44,"fuera de tiempo",1,1,1,1,1,1,4,8,"Adv.Planning"
"750","1.1.23.16",1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-16.378172397352,-71.5303913700307,"VILLA EL CONQUISTADOR II",2,"Adv.Planning",10,12,"TN",NA,NA,0,"T",NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,"2015-06-02",0,0,0,NA,22,"ataque",1,1,1,1,1,1,4,3,"Adv.Planning"
"751","1.1.23.17",1,1,1,1,2,0,0,0,0,3,1,3,1,0,0,0,0,-16.3781574390141,-71.5303105062322,"VILLA EL CONQUISTADOR II",2,"Adv.Planning",10,12,"TN",NA,NA,0,"T",NA,NA,0,1,1,1,0,0,0,0,0,1,0,0,"2015-06-12",0,10,9,NA,114,"ataque",1,1,1,1,1,1,8,10,"Adv.Planning"
"752","1.1.23.18",1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,-16.3781434119385,-71.5302457273424,"VILLA EL CONQUISTADOR II",2,"Adv.Planning",10,12,"TN",NA,NA,0,"T",NA,NA,0,1,0,1,0,0,0,0,0,1,0,0,"2015-06-15",1,12,0,NA,31,"ataque",1,1,1,1,1,1,2,1,"Adv.Planning"
"753","1.1.23.19",1,1,1,1,0,0,0,0,0,2,0,0,2,0,0,0,0,-16.3781356082049,-71.5301684416644,"VILLA EL CONQUISTADOR II",2,"Adv.Planning",10,12,"TN",NA,NA,0,"T",NA,NA,0,1,1,0,0,0,0,0,0,1,0,0,"2015-06-15",0,12,3,NA,30,"ataque",1,1,1,1,1,1,4,7,"Adv.Planning"
"754","1.1.23.2",1,1,1,1,3,0,0,0,0,2,0,5,0,0,0,0,1,-16.3784427630708,-71.5315911045771,"VILLA EL CONQUISTADOR II",1,"Adv.Planning",10,12,"C",NA,NA,0,"T",NA,NA,0,1,0,1,0,0,0,0,0,1,0,0,"2015-06-28",1,25,25,NA,34,"domingos",1,1,1,1,1,0,NA,NA,"Adv.Planning"
"755","1.1.23.20",1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-16.3781242493698,-71.530104967937,"VILLA EL CONQUISTADOR II",2,"Adv.Planning",10,12,"TN",NA,NA,0,"T",NA,NA,0,1,0,1,0,0,0,0,0,1,0,0,"2015-06-08",1,4,NA,NA,42,"ataque",1,1,1,1,1,1,2,6,"Adv.Planning"
"756","1.1.23.20A",1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-16.3781242493698,-71.530104967937,"VILLA EL CONQUISTADOR II",2,"Adv.Planning",10,12,"TN",NA,NA,0,"T",NA,NA,0,1,0,1,0,0,0,0,0,1,0,0,"2015-06-08",1,4,NA,NA,42,"ataque",1,1,1,1,1,1,1,4,"Adv.Planning"
"757","1.1.23.20B",1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-16.3781242493698,-71.530104967937,"VILLA EL CONQUISTADOR II",2,"Adv.Planning",10,12,"TN",NA,NA,0,"T",NA,NA,0,1,0,1,0,0,0,0,0,1,0,0,"2015-06-08",1,4,NA,NA,42,"ataque",1,1,1,1,1,1,1,3,"Adv.Planning"
"758","1.1.23.21",1,1,1,1,1,0,0,0,0,1,2,0,0,0,0,0,2,-16.378091424824,-71.5300290144861,"VILLA EL CONQUISTADOR II",2,"Adv.Planning",10,12,"TN",NA,NA,0,"T",NA,NA,0,1,0,1,0,0,0,0,0,1,0,0,"2015-06-10",0,7,7,NA,57,"ataque",1,1,1,1,1,1,7,10,"Adv.Planning"
"759","1.1.23.22",1,1,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,-16.378086491745,-71.5299430479953,"VILLA EL CONQUISTADOR II",2,"Adv.Planning",10,12,"TN",NA,NA,0,"T",NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,"2015-06-04",0,1,1,NA,52,"ataque",1,1,1,1,1,1,6,4,"Adv.Planning"
"760","1.1.23.23",0,1,1,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,-16.3782407242802,-71.529925476374,"VILLA EL CONQUISTADOR II",2,"Adv.Planning",10,12,"TN",NA,NA,0,"T",NA,NA,0,0,0,1,0,0,0,1,0,3,0,0,NA,NA,NA,NA,1,NA,NA,1,1,1,1,0,1,4,9,"Adv.Planning"
"761","1.1.23.24",0,1,1,NA,NA,NA,NA,NA,NA,2,0,3,3,0,0,0,0,-16.3782494393227,-71.5299948784471,"VILLA EL CONQUISTADOR II",2,"Adv.Planning",10,12,"TN",NA,NA,0,"R",NA,NA,NA,0,1,1,0,0,0,1,0,2,0,0,NA,NA,NA,NA,1,NA,NA,1,1,1,1,1,1,5,7,"Adv.Planning"
"762","1.1.23.25",1,1,1,1,0,0,0,0,0,2,1,1,0,0,0,0,1,-16.3782636671686,-71.530073600045,"VILLA EL CONQUISTADOR II",2,"Adv.Planning",10,12,"TN",NA,NA,0,"T",NA,NA,0,1,0,1,0,0,0,0,0,1,0,0,"2015-06-08",1,5,0,NA,28,"ataque",1,1,1,1,1,1,3,6,"Adv.Planning"
"763","1.1.23.26",1,1,1,1,0,0,0,0,0,2,3,1,2,0,0,0,1,-16.3782800832293,-71.5301437683624,"VILLA EL CONQUISTADOR II",2,"Adv.Planning",10,12,"TN",NA,NA,0,"T",NA,NA,0,1,1,1,0,0,0,0,0,1,0,0,"2015-07-01",0,28,28,NA,44,"fuera de tiempo",1,1,1,1,1,1,5,8,"Adv.Planning"
