"","UNICODE","P","D","L","V","CICLO_ROCIADO","STATUS","IN_TRI","PE_TRI"
"4510","1.1.34.571","1","1","34","571","2","T",NA,NA
"4511","1.1.34.571A","1","1","34","571A","2","T",NA,NA
"4512","1.1.34.571B","1","1","34","571B","2","T",NA,NA
"4513","1.1.34.572","1","1","34","572","1","T",NA,NA
"4514","1.1.34.572","1","1","34","572","2","T",NA,NA
"4515","1.1.34.573","1","1","34","573","1","DES",NA,NA
"4516","1.1.34.573","1","1","34","573","2","T",NA,NA
"4517","1.1.34.574","1","1","34","574","1","R",NA,NA
"4518","1.1.34.574","1","1","34","574","2","T",NA,NA
"4519","1.1.34.575","1","1","34","575","1","C",NA,NA
"4520","1.1.34.575","1","1","34","575","2","T",NA,NA
"4521","1.1.34.576","1","1","34","576","1","C",NA,NA
"4522","1.1.34.576","1","1","34","576","2","R",NA,NA
"4523","1.1.34.577","1","1","34","577","1","C",NA,NA
"4524","1.1.34.577","1","1","34","577","2","R",NA,NA
"4525","1.1.34.578","1","1","34","578","1","T",NA,NA
"4526","1.1.34.578","1","1","34","578","2","C",NA,NA
"4527","1.1.34.579","1","1","34","579","1","T",NA,NA
"4528","1.1.34.579","1","1","34","579","2","C",NA,NA
"4529","1.1.34.58","1","1","34","58","1","T",NA,NA
"4530","1.1.34.58","1","1","34","58","2","T",NA,NA
"4531","1.1.34.580","1","1","34","580","1","C",NA,NA
"4532","1.1.34.580","1","1","34","580","2","C",NA,NA
"4533","1.1.34.581","1","1","34","581","1","C",NA,NA
"4534","1.1.34.581","1","1","34","581","2","C",NA,NA
"4535","1.1.34.582","1","1","34","582","1","C",NA,NA
"4536","1.1.34.582","1","1","34","582","2","T",NA,NA
"4537","1.1.34.583","1","1","34","583","1","T",NA,NA
"4538","1.1.34.583","1","1","34","583","2","C",NA,NA
"4539","1.1.34.583A","1","1","34","583A","1","T",NA,NA
"4540","1.1.34.583A","1","1","34","583A","2","C",NA,NA
"4541","1.1.34.584","1","1","34","584","1","T",NA,NA
"4542","1.1.34.584","1","1","34","584","2","T",NA,NA
"4543","1.1.34.585","1","1","34","585","1","R",NA,NA
"4544","1.1.34.585","1","1","34","585","2","C",NA,NA
"4545","1.1.34.586","1","1","34","586","1","T",NA,NA
"4546","1.1.34.586","1","1","34","586","2","T",NA,NA
"4547","1.1.34.587","1","1","34","587","1","T",NA,NA
