"","UNICODE","P","D","L","V","CICLO_ROCIADO","STATUS","IN_TRI","PE_TRI"
"1","1.1.13.1","1","1","13","1","1","T",NA,NA
"2","1.1.13.1","1","1","13","1","2","C",NA,NA
"3","1.1.13.10","1","1","13","10","1","T",NA,NA
"4","1.1.13.10","1","1","13","10","2","T",NA,NA
"5","1.1.13.100","1","1","13","100","1","T",NA,NA
"6","1.1.13.100","1","1","13","100","2","T",NA,NA
"7","1.1.13.101","1","1","13","101","1","T",NA,NA
"8","1.1.13.101","1","1","13","101","2","T",NA,NA
"9","1.1.13.102","1","1","13","102","1","R",NA,NA
"10","1.1.13.102","1","1","13","102","2","C",NA,NA
"11","1.1.13.103","1","1","13","103","1","R",NA,NA
"12","1.1.13.103","1","1","13","103","2","C",NA,NA
"13","1.1.13.104","1","1","13","104","1","R",NA,NA
"14","1.1.13.104","1","1","13","104","2","C",NA,NA
"15","1.1.13.105","1","1","13","105","1","T",NA,NA
"16","1.1.13.105","1","1","13","105","2","T",NA,NA
"17","1.1.13.106","1","1","13","106","1","R",NA,NA
"18","1.1.13.106","1","1","13","106","2","R",NA,NA
"19","1.1.13.107","1","1","13","107","1","R",NA,NA
"20","1.1.13.107","1","1","13","107","2","T",NA,NA
"21","1.1.13.108","1","1","13","108","1","T",NA,NA
"22","1.1.13.108","1","1","13","108","2","T",NA,NA
"23","1.1.13.109","1","1","13","109","1","T",NA,NA
"24","1.1.13.109","1","1","13","109","2","T",NA,NA
"25","1.1.13.11","1","1","13","11","1","T",NA,NA
"26","1.1.13.11","1","1","13","11","2","T",NA,NA
"27","1.1.13.110","1","1","13","110","1","T",NA,NA
"28","1.1.13.110","1","1","13","110","2","T",NA,NA
"29","1.1.13.111","1","1","13","111","1","T",NA,NA
"30","1.1.13.111","1","1","13","111","2","T",NA,NA
"31","1.1.13.112","1","1","13","112","1","T",NA,NA
"32","1.1.13.112","1","1","13","112","2","T",NA,NA
"33","1.1.13.113","1","1","13","113","1","C",NA,NA
"34","1.1.13.113","1","1","13","113","2","T",NA,NA
"35","1.1.13.114","1","1","13","114","1","T",NA,NA
"36","1.1.13.114","1","1","13","114","2","T",NA,NA
"37","1.1.13.115","1","1","13","115","1","T",NA,NA
"38","1.1.13.115","1","1","13","115","2","R",NA,NA
"39","1.1.13.116","1","1","13","116","1","T",NA,NA
"40","1.1.13.116","1","1","13","116","2","R",NA,NA
"41","1.1.13.117","1","1","13","117","1","T",NA,NA
"42","1.1.13.117","1","1","13","117","2","T",NA,NA
"43","1.1.13.118","1","1","13","118","1","T",NA,NA
"44","1.1.13.118","1","1","13","118","2","T",NA,NA
"45","1.1.13.119","1","1","13","119","1","T",NA,NA
"46","1.1.13.119","1","1","13","119","2","T",NA,NA
"47","1.1.13.12","1","1","13","12","1","T",NA,NA
"48","1.1.13.12","1","1","13","12","2","T",NA,NA
"49","1.1.13.120","1","1","13","120","1","R",NA,NA
"50","1.1.13.120","1","1","13","120","2","T",NA,NA
"51","1.1.13.121","1","1","13","121","1","T",NA,NA
"52","1.1.13.121","1","1","13","121","2","T",NA,NA
"53","1.1.13.122","1","1","13","122","1","LV",NA,NA
"54","1.1.13.122","1","1","13","122","2","T",NA,NA
"55","1.1.13.123","1","1","13","123","1","T",NA,NA
"56","1.1.13.123","1","1","13","123","2","T",NA,NA
"57","1.1.13.124","1","1","13","124","1","T",NA,NA
"58","1.1.13.124","1","1","13","124","2","R",NA,NA
"59","1.1.13.125","1","1","13","125","1","T",NA,NA
"60","1.1.13.125","1","1","13","125","2","T",NA,NA
"61","1.1.13.126","1","1","13","126","1","T",NA,NA
"62","1.1.13.126","1","1","13","126","2","T",NA,NA
"63","1.1.13.127","1","1","13","127","1","T",NA,NA
"64","1.1.13.127","1","1","13","127","2","T",NA,NA
"65","1.1.13.128","1","1","13","128","1","T",NA,NA
"66","1.1.13.128","1","1","13","128","2","T",NA,NA
"67","1.1.13.129","1","1","13","129","1","T",NA,NA
"68","1.1.13.129","1","1","13","129","2","T",NA,NA
"69","1.1.13.13","1","1","13","13","1","T",NA,NA
"70","1.1.13.13","1","1","13","13","2","T",NA,NA
"71","1.1.13.130","1","1","13","130","1","T",NA,NA
"72","1.1.13.130","1","1","13","130","2","T",NA,NA
"73","1.1.13.131","1","1","13","131","1","T",NA,NA
"74","1.1.13.131","1","1","13","131","2","T",NA,NA
"75","1.1.13.132","1","1","13","132","1","T",NA,NA
"76","1.1.13.132","1","1","13","132","2","T",NA,NA
"77","1.1.13.133","1","1","13","133","1","T",NA,NA
"78","1.1.13.133","1","1","13","133","2","T",NA,NA
"79","1.1.13.134","1","1","13","134","1","LP",NA,NA
"80","1.1.13.134","1","1","13","134","2","LP",NA,NA
"81","1.1.13.135","1","1","13","135","1","R",NA,NA
"82","1.1.13.135","1","1","13","135","2","R",NA,NA
"83","1.1.13.136","1","1","13","136","1","T",NA,NA
"84","1.1.13.136","1","1","13","136","2","R",NA,NA
"85","1.1.13.137","1","1","13","137","1","T",NA,NA
"86","1.1.13.137","1","1","13","137","2","T",NA,NA
"87","1.1.13.138","1","1","13","138","1","T",NA,NA
"88","1.1.13.138","1","1","13","138","2","T",NA,NA
"89","1.1.13.139","1","1","13","139","1","T",NA,NA
"90","1.1.13.139","1","1","13","139","2","T",NA,NA
"91","1.1.13.14","1","1","13","14","1","T",NA,NA
"92","1.1.13.14","1","1","13","14","2","T",NA,NA
"93","1.1.13.140","1","1","13","140","1","T",NA,NA
"94","1.1.13.140","1","1","13","140","2","T",NA,NA
"95","1.1.13.141","1","1","13","141","1","C",NA,NA
"96","1.1.13.141","1","1","13","141","2","T",NA,NA
"97","1.1.13.142","1","1","13","142","1","T",NA,NA
"98","1.1.13.142","1","1","13","142","2","T",NA,NA
"99","1.1.13.143","1","1","13","143","1","T",NA,NA
"100","1.1.13.143","1","1","13","143","2","T",NA,NA
"101","1.1.13.144","1","1","13","144","1","T",NA,NA
"102","1.1.13.144","1","1","13","144","2","T",NA,NA
"103","1.1.13.145","1","1","13","145","1","T",NA,NA
"104","1.1.13.145","1","1","13","145","2","T",NA,NA
"105","1.1.13.146","1","1","13","146","1","T",NA,NA
"106","1.1.13.146","1","1","13","146","2","T",NA,NA
"107","1.1.13.147","1","1","13","147","1","T",NA,NA
"108","1.1.13.147","1","1","13","147","2","T",NA,NA
"109","1.1.13.148","1","1","13","148","1","T",NA,NA
"110","1.1.13.148","1","1","13","148","2","T",NA,NA
"111","1.1.13.149","1","1","13","149","1","T",NA,NA
"112","1.1.13.149","1","1","13","149","2","T",NA,NA
"113","1.1.13.15","1","1","13","15","1","T",NA,NA
"114","1.1.13.15","1","1","13","15","2","T",NA,NA
"115","1.1.13.150","1","1","13","150","1","T",NA,NA
"116","1.1.13.150","1","1","13","150","2","T",NA,NA
"117","1.1.13.151","1","1","13","151","1","T",NA,NA
"118","1.1.13.151","1","1","13","151","2","R",NA,NA
"119","1.1.13.152","1","1","13","152","1","T",NA,NA
"120","1.1.13.152","1","1","13","152","2","T",NA,NA
"121","1.1.13.153","1","1","13","153","1","T",NA,NA
"122","1.1.13.153","1","1","13","153","2","T",NA,NA
"123","1.1.13.154","1","1","13","154","1","T",NA,NA
"124","1.1.13.154","1","1","13","154","2","T",NA,NA
"125","1.1.13.155","1","1","13","155","1","T",NA,NA
"126","1.1.13.155","1","1","13","155","2","R",NA,NA
"127","1.1.13.156","1","1","13","156","1","T",NA,NA
"128","1.1.13.156","1","1","13","156","2","T",NA,NA
"129","1.1.13.157","1","1","13","157","1","T",NA,NA
"130","1.1.13.157","1","1","13","157","2","T",NA,NA
"131","1.1.13.158","1","1","13","158","1","T",NA,NA
"132","1.1.13.158","1","1","13","158","2","R",NA,NA
"133","1.1.13.159","1","1","13","159","1","T",NA,NA
"134","1.1.13.159","1","1","13","159","2","T",NA,NA
"135","1.1.13.16","1","1","13","16","1","T",NA,NA
"136","1.1.13.16","1","1","13","16","2","T",NA,NA
"137","1.1.13.160","1","1","13","160","1","T",NA,NA
"138","1.1.13.160","1","1","13","160","2","T",NA,NA
"139","1.1.13.161","1","1","13","161","1","R",NA,NA
"140","1.1.13.161","1","1","13","161","2","T",NA,NA
"141","1.1.13.162","1","1","13","162","1","T",NA,NA
"142","1.1.13.162","1","1","13","162","2","T",NA,NA
"143","1.1.13.163","1","1","13","163","1","T",NA,NA
"144","1.1.13.163","1","1","13","163","2","T",NA,NA
"145","1.1.13.164","1","1","13","164","1","T",NA,NA
"146","1.1.13.164","1","1","13","164","2","T",NA,NA
"147","1.1.13.165","1","1","13","165","1","T",NA,NA
"148","1.1.13.165","1","1","13","165","2","T",NA,NA
"149","1.1.13.166","1","1","13","166","1","T",NA,NA
"150","1.1.13.166","1","1","13","166","2","C",NA,NA
"151","1.1.13.167","1","1","13","167","1","T",NA,NA
"152","1.1.13.167","1","1","13","167","2","T",NA,NA
"153","1.1.13.168","1","1","13","168","1","T",NA,NA
"154","1.1.13.168","1","1","13","168","2","T",NA,NA
"155","1.1.13.169","1","1","13","169","1","R",NA,NA
"156","1.1.13.169","1","1","13","169","2","R",NA,NA
"157","1.1.13.17","1","1","13","17","1","T",NA,NA
"158","1.1.13.17","1","1","13","17","2","T",NA,NA
"159","1.1.13.170","1","1","13","170","1","T",NA,NA
"160","1.1.13.170","1","1","13","170","2","R",NA,NA
"161","1.1.13.171","1","1","13","171","1","T",NA,NA
"162","1.1.13.171","1","1","13","171","2","R",NA,NA
"163","1.1.13.172","1","1","13","172","1","T",NA,NA
"164","1.1.13.172","1","1","13","172","2","T",NA,NA
"165","1.1.13.173","1","1","13","173","1","T",NA,NA
"166","1.1.13.173","1","1","13","173","2","T",NA,NA
"167","1.1.13.174","1","1","13","174","1","T",NA,NA
"168","1.1.13.174","1","1","13","174","2","T",NA,NA
"169","1.1.13.175","1","1","13","175","1","T",NA,NA
"170","1.1.13.175","1","1","13","175","2","T",NA,NA
"171","1.1.13.176","1","1","13","176","1","T",NA,NA
"172","1.1.13.176","1","1","13","176","2","T",NA,NA
"173","1.1.13.177","1","1","13","177","1","T",NA,NA
"174","1.1.13.177","1","1","13","177","2","C",NA,NA
"175","1.1.13.178","1","1","13","178","1","T",NA,NA
"176","1.1.13.178","1","1","13","178","2","T",NA,NA
"177","1.1.13.179","1","1","13","179","1","T",NA,NA
"178","1.1.13.179","1","1","13","179","2","T",NA,NA
"179","1.1.13.18","1","1","13","18","1","T",NA,NA
"180","1.1.13.18","1","1","13","18","2","T",NA,NA
"181","1.1.13.180","1","1","13","180","1","T",NA,NA
"182","1.1.13.180","1","1","13","180","2","T",NA,NA
"183","1.1.13.181","1","1","13","181","1","T",NA,NA
"184","1.1.13.181","1","1","13","181","2","T",NA,NA
"185","1.1.13.19","1","1","13","19","1","R",NA,NA
"186","1.1.13.19","1","1","13","19","2","T",NA,NA
"187","1.1.13.2","1","1","13","2","1","C",NA,NA
"188","1.1.13.2","1","1","13","2","2","C",NA,NA
"189","1.1.13.20","1","1","13","20","1","T",NA,NA
"190","1.1.13.20","1","1","13","20","2","T",NA,NA
"191","1.1.13.21","1","1","13","21","1","T",NA,NA
"192","1.1.13.21","1","1","13","21","2","T",NA,NA
"193","1.1.13.22","1","1","13","22","1","T",NA,NA
"194","1.1.13.22","1","1","13","22","2","T",NA,NA
"195","1.1.13.23","1","1","13","23","1","T",NA,NA
"196","1.1.13.23","1","1","13","23","2","T",NA,NA
"197","1.1.13.24","1","1","13","24","1","T",NA,NA
"198","1.1.13.24","1","1","13","24","2","T",NA,NA
"199","1.1.13.25","1","1","13","25","1","R",NA,NA
"200","1.1.13.25","1","1","13","25","2","T",NA,NA
"201","1.1.13.26","1","1","13","26","1","T",NA,NA
"202","1.1.13.26","1","1","13","26","2","T",NA,NA
"203","1.1.13.27","1","1","13","27","1","T",NA,NA
"204","1.1.13.27","1","1","13","27","2","R",NA,NA
"205","1.1.13.28","1","1","13","28","1","T",NA,NA
"206","1.1.13.28","1","1","13","28","2","R",NA,NA
"207","1.1.13.29","1","1","13","29","1","R",NA,NA
"208","1.1.13.29","1","1","13","29","2","T",NA,NA
"209","1.1.13.3","1","1","13","3","1","T",NA,NA
"210","1.1.13.3","1","1","13","3","2","T",NA,NA
"211","1.1.13.30","1","1","13","30","1","T",NA,NA
"212","1.1.13.30","1","1","13","30","2","T",NA,NA
"213","1.1.13.31","1","1","13","31","1","T",NA,NA
"214","1.1.13.31","1","1","13","31","2","T",NA,NA
"215","1.1.13.32","1","1","13","32","1","T",NA,NA
"216","1.1.13.32","1","1","13","32","2","T",NA,NA
"217","1.1.13.33","1","1","13","33","1","T",NA,NA
"218","1.1.13.33","1","1","13","33","2","T",NA,NA
"219","1.1.13.34","1","1","13","34","1","R",NA,NA
"220","1.1.13.34","1","1","13","34","2","C",NA,NA
"221","1.1.13.35","1","1","13","35","1","T",NA,NA
"222","1.1.13.35","1","1","13","35","2","T",NA,NA
"223","1.1.13.36","1","1","13","36","1","T",NA,NA
"224","1.1.13.36","1","1","13","36","2","T",NA,NA
"225","1.1.13.37","1","1","13","37","1","T",NA,NA
"226","1.1.13.37","1","1","13","37","2","T",NA,NA
"227","1.1.13.38","1","1","13","38","1","T",NA,NA
"228","1.1.13.38","1","1","13","38","2","T",NA,NA
"229","1.1.13.39","1","1","13","39","1","T",NA,NA
"230","1.1.13.39","1","1","13","39","2","T",NA,NA
"231","1.1.13.4","1","1","13","4","1","T",NA,NA
"232","1.1.13.4","1","1","13","4","2","T",NA,NA
"233","1.1.13.40","1","1","13","40","1","T",NA,NA
"234","1.1.13.40","1","1","13","40","2","T",NA,NA
"235","1.1.13.41","1","1","13","41","1","T",NA,NA
"236","1.1.13.41","1","1","13","41","2","T",NA,NA
"237","1.1.13.42","1","1","13","42","1","R",NA,NA
"238","1.1.13.42","1","1","13","42","2","C",NA,NA
"239","1.1.13.43","1","1","13","43","1","T","20+",NA
"240","1.1.13.43","1","1","13","43","2","T",NA,NA
"241","1.1.13.44","1","1","13","44","1","T",NA,NA
"242","1.1.13.44","1","1","13","44","2","T",NA,NA
"243","1.1.13.45","1","1","13","45","1","R",NA,NA
"244","1.1.13.45","1","1","13","45","2","R",NA,NA
"245","1.1.13.46","1","1","13","46","1","T",NA,"20+"
"246","1.1.13.46","1","1","13","46","2","T",NA,NA
"247","1.1.13.47","1","1","13","47","1","T",NA,NA
"248","1.1.13.47","1","1","13","47","2","T",NA,NA
"249","1.1.13.48","1","1","13","48","1","T","1",NA
"250","1.1.13.48","1","1","13","48","2","T",NA,NA
"251","1.1.13.49","1","1","13","49","1","R",NA,NA
"252","1.1.13.49","1","1","13","49","2","R",NA,NA
"253","1.1.13.5","1","1","13","5","1","T",NA,NA
"254","1.1.13.5","1","1","13","5","2","T",NA,NA
"255","1.1.13.50","1","1","13","50","1","R",NA,NA
"256","1.1.13.50","1","1","13","50","2","R",NA,NA
"257","1.1.13.51","1","1","13","51","1","T",NA,NA
"258","1.1.13.51","1","1","13","51","2","T",NA,NA
"259","1.1.13.52","1","1","13","52","1","T",NA,NA
"260","1.1.13.52","1","1","13","52","2","T",NA,NA
"261","1.1.13.53","1","1","13","53","1","T",NA,NA
"262","1.1.13.53","1","1","13","53","2","T",NA,NA
"263","1.1.13.54","1","1","13","54","1","T",NA,NA
"264","1.1.13.54","1","1","13","54","2","T",NA,NA
"265","1.1.13.55","1","1","13","55","1","R",NA,NA
"266","1.1.13.55","1","1","13","55","2","T",NA,NA
"267","1.1.13.56","1","1","13","56","1","T",NA,NA
"268","1.1.13.56","1","1","13","56","2","T",NA,NA
"269","1.1.13.57","1","1","13","57","1","R",NA,NA
"270","1.1.13.57","1","1","13","57","2","T",NA,NA
"271","1.1.13.58","1","1","13","58","1","T",NA,NA
"272","1.1.13.58","1","1","13","58","2","T",NA,NA
"273","1.1.13.59","1","1","13","59","1","T",NA,NA
"274","1.1.13.59","1","1","13","59","2","T",NA,NA
"275","1.1.13.6","1","1","13","6","1","T",NA,NA
"276","1.1.13.6","1","1","13","6","2","R",NA,NA
"277","1.1.13.60","1","1","13","60","1","T",NA,NA
"278","1.1.13.60","1","1","13","60","2","T",NA,NA
"279","1.1.13.61","1","1","13","61","1","T",NA,NA
"280","1.1.13.61","1","1","13","61","2","T",NA,NA
"281","1.1.13.62","1","1","13","62","1","R",NA,NA
"282","1.1.13.62","1","1","13","62","2","T",NA,NA
"283","1.1.13.63","1","1","13","63","1","R",NA,NA
"284","1.1.13.63","1","1","13","63","2","T",NA,NA
"285","1.1.13.64","1","1","13","64","1","R",NA,NA
"286","1.1.13.64","1","1","13","64","2","T",NA,NA
"287","1.1.13.65","1","1","13","65","1","T",NA,NA
"288","1.1.13.65","1","1","13","65","2","T",NA,NA
"289","1.1.13.66","1","1","13","66","1","R",NA,NA
"290","1.1.13.66","1","1","13","66","2","T",NA,NA
"291","1.1.13.67","1","1","13","67","1","R",NA,NA
"292","1.1.13.67","1","1","13","67","2","T",NA,NA
"293","1.1.13.68","1","1","13","68","1","T",NA,NA
"294","1.1.13.68","1","1","13","68","2","T",NA,NA
"295","1.1.13.69","1","1","13","69","1","R",NA,NA
"296","1.1.13.69","1","1","13","69","2","R",NA,NA
"297","1.1.13.7","1","1","13","7","1","T",NA,NA
"298","1.1.13.7","1","1","13","7","2","T",NA,NA
"299","1.1.13.70","1","1","13","70","1","DES",NA,NA
"300","1.1.13.70","1","1","13","70","2","T",NA,NA
"301","1.1.13.71","1","1","13","71","1","T",NA,NA
"302","1.1.13.71","1","1","13","71","2","T",NA,NA
"303","1.1.13.72","1","1","13","72","1","T",NA,NA
"304","1.1.13.72","1","1","13","72","2","T",NA,NA
"305","1.1.13.73","1","1","13","73","1","T",NA,NA
"306","1.1.13.73","1","1","13","73","2","T",NA,NA
"307","1.1.13.74","1","1","13","74","1","T",NA,NA
"308","1.1.13.74","1","1","13","74","2","C",NA,NA
"309","1.1.13.75","1","1","13","75","1","T",NA,NA
"310","1.1.13.75","1","1","13","75","2","T",NA,NA
"311","1.1.13.76","1","1","13","76","1","C",NA,NA
"312","1.1.13.76","1","1","13","76","2","C",NA,NA
"313","1.1.13.76A","1","1","13","76A","1","T",NA,NA
"314","1.1.13.76A","1","1","13","76A","2","T",NA,NA
"315","1.1.13.77","1","1","13","77","1","T",NA,NA
"316","1.1.13.77","1","1","13","77","2","T",NA,NA
"317","1.1.13.78","1","1","13","78","1","T",NA,NA
"318","1.1.13.78","1","1","13","78","2","T",NA,NA
"319","1.1.13.79","1","1","13","79","1","T",NA,NA
"320","1.1.13.79","1","1","13","79","2","T",NA,NA
"321","1.1.13.8","1","1","13","8","1","T",NA,NA
"322","1.1.13.8","1","1","13","8","2","T",NA,NA
"323","1.1.13.80","1","1","13","80","1","T",NA,NA
"324","1.1.13.80","1","1","13","80","2","T",NA,NA
"325","1.1.13.81","1","1","13","81","1","T",NA,NA
"326","1.1.13.81","1","1","13","81","2","T",NA,NA
"327","1.1.13.82","1","1","13","82","1","T",NA,NA
"328","1.1.13.82","1","1","13","82","2","R",NA,NA
"329","1.1.13.83","1","1","13","83","1","T",NA,NA
"330","1.1.13.83","1","1","13","83","2","T",NA,NA
"331","1.1.13.84","1","1","13","84","1","T",NA,NA
"332","1.1.13.84","1","1","13","84","2","T",NA,NA
"333","1.1.13.85","1","1","13","85","1","T",NA,NA
"334","1.1.13.85","1","1","13","85","2","T",NA,NA
"335","1.1.13.86","1","1","13","86","1","T",NA,NA
"336","1.1.13.86","1","1","13","86","2","T",NA,NA
"337","1.1.13.87","1","1","13","87","1","R",NA,NA
"338","1.1.13.87","1","1","13","87","2","C",NA,NA
"339","1.1.13.88","1","1","13","88","1","T",NA,NA
"340","1.1.13.88","1","1","13","88","2","T",NA,NA
"341","1.1.13.89","1","1","13","89","1","R",NA,NA
"342","1.1.13.89","1","1","13","89","2","T",NA,NA
"343","1.1.13.8A","1","1","13","8A","1","T",NA,NA
"344","1.1.13.8A","1","1","13","8A","2","T",NA,NA
"345","1.1.13.9","1","1","13","9","1","T",NA,NA
"346","1.1.13.9","1","1","13","9","2","T",NA,NA
"347","1.1.13.90","1","1","13","90","1","T",NA,NA
"348","1.1.13.90","1","1","13","90","2","T",NA,NA
"349","1.1.13.91","1","1","13","91","1","T",NA,NA
"350","1.1.13.91","1","1","13","91","2","T",NA,NA
"351","1.1.13.91A","1","1","13","91A","1","T",NA,NA
"352","1.1.13.91A","1","1","13","91A","2","T",NA,NA
"353","1.1.13.92","1","1","13","92","1","R",NA,NA
"354","1.1.13.92","1","1","13","92","2","R",NA,NA
"355","1.1.13.93","1","1","13","93","1","T",NA,NA
"356","1.1.13.93","1","1","13","93","2","T",NA,NA
"357","1.1.13.94","1","1","13","94","1","T",NA,NA
"358","1.1.13.94","1","1","13","94","2","T",NA,NA
"359","1.1.13.95","1","1","13","95","1","T",NA,NA
"360","1.1.13.95","1","1","13","95","2","T",NA,NA
"361","1.1.13.96","1","1","13","96","1","T",NA,NA
"362","1.1.13.96","1","1","13","96","2","T",NA,NA
"363","1.1.13.97","1","1","13","97","1","T",NA,NA
"364","1.1.13.97","1","1","13","97","2","T",NA,NA
"365","1.1.13.98","1","1","13","98","1","R",NA,NA
"366","1.1.13.98","1","1","13","98","2","C",NA,NA
"367","1.1.13.99","1","1","13","99","1","T",NA,NA
"368","1.1.13.99","1","1","13","99","2","T",NA,NA
"369","1.1.14.1","1","1","14","1","1","T",NA,NA
"370","1.1.14.1","1","1","14","1","2","T",NA,NA
"371","1.1.14.10","1","1","14","10","1","C",NA,NA
"372","1.1.14.10","1","1","14","10","2","R",NA,NA
"373","1.1.14.100","1","1","14","100","1","T",NA,NA
"374","1.1.14.100","1","1","14","100","2","R",NA,NA
"375","1.1.14.101","1","1","14","101","1","T",NA,NA
"376","1.1.14.101","1","1","14","101","2","R",NA,NA
"377","1.1.14.102","1","1","14","102","1","T",NA,NA
"378","1.1.14.102","1","1","14","102","2","T",NA,NA
"379","1.1.14.103","1","1","14","103","1","T",NA,NA
"380","1.1.14.103","1","1","14","103","2","T",NA,NA
"381","1.1.14.104","1","1","14","104","1","R",NA,NA
"382","1.1.14.104","1","1","14","104","2","T",NA,NA
"383","1.1.14.105","1","1","14","105","1","C",NA,NA
"384","1.1.14.105","1","1","14","105","2","R",NA,NA
"385","1.1.14.106","1","1","14","106","1","T",NA,NA
"386","1.1.14.106","1","1","14","106","2","T",NA,NA
"387","1.1.14.107","1","1","14","107","1","R",NA,NA
"388","1.1.14.107","1","1","14","107","2","R",NA,NA
"389","1.1.14.108","1","1","14","108","1","C",NA,NA
"390","1.1.14.108","1","1","14","108","2","T",NA,NA
"391","1.1.14.109","1","1","14","109","1","C",NA,NA
"392","1.1.14.109","1","1","14","109","2","C",NA,NA
"393","1.1.14.11","1","1","14","11","1","T",NA,"9"
"394","1.1.14.11","1","1","14","11","2","T",NA,NA
"395","1.1.14.110","1","1","14","110","1","T",NA,NA
"396","1.1.14.110","1","1","14","110","2","T",NA,NA
"397","1.1.14.111","1","1","14","111","1","T",NA,NA
"398","1.1.14.111","1","1","14","111","2","T",NA,NA
"399","1.1.14.112","1","1","14","112","1","C",NA,NA
"400","1.1.14.112","1","1","14","112","2","T",NA,NA
"401","1.1.14.113","1","1","14","113","1","T",NA,NA
"402","1.1.14.113","1","1","14","113","2","T",NA,NA
"403","1.1.14.114","1","1","14","114","1","T",NA,NA
"404","1.1.14.114","1","1","14","114","2","C",NA,NA
"405","1.1.14.115","1","1","14","115","1","T",NA,NA
"406","1.1.14.115","1","1","14","115","2","T",NA,NA
"407","1.1.14.116","1","1","14","116","1","R",NA,NA
"408","1.1.14.116","1","1","14","116","2","C",NA,NA
"409","1.1.14.117","1","1","14","117","1","T",NA,NA
"410","1.1.14.117","1","1","14","117","2","T",NA,NA
"411","1.1.14.118","1","1","14","118","1","T",NA,NA
"412","1.1.14.118","1","1","14","118","2","T",NA,NA
"413","1.1.14.119","1","1","14","119","1","T",NA,NA
"414","1.1.14.119","1","1","14","119","2","T",NA,NA
"415","1.1.14.11A","1","1","14","11A","1","T",NA,NA
"416","1.1.14.11A","1","1","14","11A","2","T",NA,NA
"417","1.1.14.12","1","1","14","12","1","T",NA,NA
"418","1.1.14.12","1","1","14","12","2","T",NA,NA
"419","1.1.14.120","1","1","14","120","1","T",NA,NA
"420","1.1.14.120","1","1","14","120","2","T",NA,NA
"421","1.1.14.121","1","1","14","121","1","T",NA,NA
"422","1.1.14.121","1","1","14","121","2","T",NA,NA
"423","1.1.14.122","1","1","14","122","1","T",NA,NA
"424","1.1.14.122","1","1","14","122","2","C",NA,NA
"425","1.1.14.123","1","1","14","123","1","T",NA,NA
"426","1.1.14.123","1","1","14","123","2","T",NA,NA
"427","1.1.14.124","1","1","14","124","1","T",NA,NA
"428","1.1.14.124","1","1","14","124","2","T",NA,NA
"429","1.1.14.125","1","1","14","125","1","T",NA,NA
"430","1.1.14.125","1","1","14","125","2","T",NA,NA
"431","1.1.14.126","1","1","14","126","1","T",NA,NA
"432","1.1.14.126","1","1","14","126","2","T",NA,NA
"433","1.1.14.127","1","1","14","127","1","T",NA,NA
"434","1.1.14.127","1","1","14","127","2","T",NA,NA
"435","1.1.14.128","1","1","14","128","1","T",NA,NA
"436","1.1.14.128","1","1","14","128","2","T",NA,NA
"437","1.1.14.129","1","1","14","129","1","T",NA,"20+"
"438","1.1.14.129","1","1","14","129","2","T",NA,NA
"439","1.1.14.13","1","1","14","13","1","T",NA,NA
"440","1.1.14.13","1","1","14","13","2","T",NA,NA
"441","1.1.14.130","1","1","14","130","1","C",NA,NA
"442","1.1.14.130","1","1","14","130","2","T",NA,NA
"443","1.1.14.131","1","1","14","131","1","T",NA,"18"
"444","1.1.14.131","1","1","14","131","2","T",NA,NA
"445","1.1.14.132","1","1","14","132","1","C",NA,NA
"446","1.1.14.132","1","1","14","132","2","T",NA,NA
"447","1.1.14.133","1","1","14","133","1","T",NA,NA
"448","1.1.14.133","1","1","14","133","2","T",NA,NA
"449","1.1.14.134","1","1","14","134","1","T",NA,NA
"450","1.1.14.134","1","1","14","134","2","T",NA,NA
"451","1.1.14.135","1","1","14","135","1","T",NA,NA
"452","1.1.14.135","1","1","14","135","2","T",NA,NA
"453","1.1.14.136","1","1","14","136","1","T",NA,NA
"454","1.1.14.136","1","1","14","136","2","R",NA,NA
"455","1.1.14.137","1","1","14","137","1","R",NA,NA
"456","1.1.14.137","1","1","14","137","2","R",NA,NA
"457","1.1.14.138","1","1","14","138","1","T",NA,NA
"458","1.1.14.138","1","1","14","138","2","T",NA,NA
"459","1.1.14.139","1","1","14","139","1","R",NA,NA
"460","1.1.14.139","1","1","14","139","2","T",NA,NA
"461","1.1.14.14","1","1","14","14","1","T",NA,NA
"462","1.1.14.14","1","1","14","14","2","T",NA,NA
"463","1.1.14.140","1","1","14","140","1","T",NA,NA
"464","1.1.14.140","1","1","14","140","2","T",NA,NA
"465","1.1.14.141","1","1","14","141","1","T",NA,NA
"466","1.1.14.141","1","1","14","141","2","T",NA,NA
"467","1.1.14.142","1","1","14","142","1","C",NA,NA
"468","1.1.14.142","1","1","14","142","2","T",NA,NA
"469","1.1.14.143","1","1","14","143","1","T",NA,NA
"470","1.1.14.143","1","1","14","143","2","R",NA,NA
"471","1.1.14.144","1","1","14","144","1","T",NA,NA
"472","1.1.14.144","1","1","14","144","2","T",NA,NA
"473","1.1.14.145","1","1","14","145","1","T",NA,NA
"474","1.1.14.145","1","1","14","145","2","T",NA,NA
"475","1.1.14.146","1","1","14","146","1","T",NA,NA
"476","1.1.14.146","1","1","14","146","2","T",NA,NA
"477","1.1.14.147","1","1","14","147","1","T",NA,NA
"478","1.1.14.147","1","1","14","147","2","T",NA,NA
"479","1.1.14.148","1","1","14","148","1","T",NA,NA
"480","1.1.14.148","1","1","14","148","2","T",NA,NA
