"UNICODE","P","D","L","V","LATITUDE","LONGITUDE","block","I_TRIAT","P_TRIAT","FECHA","CICLO","TRATADA","RENUENTE","CERRADA","DESHABITADA","LOCAL_PUBLICO","LOTE_VACIO"
"1.28.1.47",1,"28","1","47",-16.56853954,-71.43867069,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.28.1.48",1,"28","1","48",-16.56839723,-71.43878867,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.28.1.49",1,"28","1","49",-16.56864683,-71.43849284,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.28.1.5",1,"28","1","5",-16.56711898,-71.43774159,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.28.1.50",1,"28","1","50",-16.56897069,-71.43867939,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.28.1.51",1,"28","1","51",-16.56907644,-71.43876268,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.28.1.52",1,"28","1","52",-16.5691406,-71.43892579,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.28.1.53",1,"28","1","53",-16.56892856,-71.43908399,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.28.1.54",1,"28","1","54",-16.56910319,-71.43939421,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.28.1.55",1,"28","1","55",-16.56895539,-71.43926627,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.28.1.56",1,"28","1","56",-16.56883822,-71.43921609,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.28.1.57",1,"28","1","57",-16.56875516,-71.43917778,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1.28.1.58",1,"28","1","58",-16.56849682,-71.43915139,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
