UNICODE,P,D,L,V,LATITUDE,LONGITUDE,block,
1.18.1.287,1,18,1,287,-16.43979868,-71.58783633,NA,se movio punto 
1.18.6.280,1,18,6,280,-16.43451045,-71.58271055,NA,se movio punto 
1.18.9A.41,1,18,9A,41,-16.42771536,-71.58339223,NA,se movio punto 
1.18.12.54,1,18,12,54,-16.43983636,-71.57885875,NA,se movio punto 
1.18.14.4,1,18,14,4,-16.42476597,-71.58488003,NA,se movio punto 
1.18.25.237,1,18,25,237,-16.4261501,-71.56678387,NA,es error de tipeo  de manzana 
1.18.25.238,1,18,25,238,-16.42612285,-71.56693243,NA,es error de tipeo  de manzana 
1.18.25.239,1,18,25,239,-16.42601726,-71.56689672,NA,es error de tipeo  de manzana 
1.18.25.240,1,18,25,240,-16.42606361,-71.56677096,NA,es error de tipeo  de manzana 
