UNICODE,P,D,L,V,LATITUDE,LONGITUDE,block,
1.8.13.243,1,8,13,243,-16.43961325,-71.52462382,NA,poligono
1.8.14.136,1,8,14,136,-16.43210583,-71.51262166,NA,punto
1.8.27.20,1,8,27,20,-16.43197941,-71.51271487,NA,punto 
