"UNICODE","P","D","L","V","P_TRIAT","I_TRIAT","FECHA","CICLO"
"1.11.9.648A",1,11,"9","648A",0,"","05/21/14",2
"1.11.9.690",1,11,"9","690",0,"","05/21/14",2
"1.11.9.682",1,11,"9","682",0,"","05/21/14",2
"1.11.9.683A",1,11,"9","683A",0,"","05/21/14",2
"1.11.9.683",1,11,"9","683",0,"","05/21/14",2
"1.11.9.662",1,11,"9","662",0,"","05/21/14",2
"1.11.14.389",1,11,"14","389",0,"","05/18/14",2
"1.11.14.365",1,11,"14","365",0,"","05/18/14",2
"1.11.14.393",1,11,"14","393",0,"","05/18/14",2
"1.11.14.371",1,11,"14","371",0,"","05/18/14",2
"1.11.14.395",1,11,"14","395",0,"","05/18/14",2
"1.11.14.394",1,11,"14","394",0,"","05/18/14",2
"1.11.14.477",1,11,"14","477",0,"","05/18/14",2
"1.11.14.424",1,11,"14","424",0,"","05/18/14",2
"1.11.14.423",1,11,"14","423",0,"","05/18/14",2
"1.11.14.541",1,11,"14","541",0,"","05/18/14",2
"1.11.14.542",1,11,"14","542",0,"","05/18/14",2
"1.11.14.543",1,11,"14","543",0,"","05/18/14",2
"1.11.14.456",1,11,"14","456",0,"","05/18/14",2
"1.11.14.687",1,11,"14","687",0,"","05/18/14",2
"1.11.14.696",1,11,"14","696",0,"","05/18/14",2
"1.11.14.679",1,11,"14","679",0,"","05/18/14",2
"1.11.14.564",1,11,"14","564",0,"","05/18/14",2
"1.11.14.591",1,11,"14","591",0,"","05/18/14",2
"1.11.14.526",1,11,"14","526",0,"","05/18/14",2
"1.11.14.455",1,11,"14","455",0,"","05/18/14",2
"1.11.14.206",1,11,"14","206",0,"","05/20/14",2
"1.11.14.197",1,11,"14","197",0,"","05/20/14",2
"1.11.14.203",1,11,"14","203",0,"","05/20/14",2
"1.11.14.208",1,11,"14","208",0,"","05/20/14",2
"1.11.14.240",1,11,"14","240",0,"","05/20/14",2
"1.11.14.505",1,11,"14","505",0,"","05/20/14",2
"1.11.14.489",1,11,"14","489",0,"","05/20/14",2
"1.11.14.226",1,11,"14","226",0,"","05/20/14",2
"1.11.14.323",1,11,"14","323",0,"","05/20/14",2
"1.11.14.316",1,11,"14","316",0,"","05/20/14",2
"1.11.14.315",1,11,"14","315",0,"","05/20/14",2
"1.11.14.314",1,11,"14","314",0,"","05/20/14",2
"1.11.14.336",1,11,"14","336",0,"","05/20/14",2
"1.11.14.172",1,11,"14","172",0,"","05/21/14",2
"1.11.14.173",1,11,"14","173",0,"","05/21/14",2
"1.11.14.174",1,11,"14","174",0,"","05/21/14",2
"1.11.14.150",1,11,"14","150",0,"","05/21/14",2
"1.11.14.325",1,11,"14","325",0,"","05/21/14",2
"1.11.14.142",1,11,"14","142",0,"","05/21/14",2
"1.11.14.142A",1,11,"14","142A",0,"","05/21/14",2
"1.11.14.143",1,11,"14","143",0,"","05/21/14",2
"1.11.14.146",1,11,"14","146",0,"","05/21/14",2
"1.11.14.163",1,11,"14","163",0,"","05/21/14",2
"1.11.14.151",1,11,"14","151",0,"","05/21/14",2
"1.11.14.145",1,11,"14","145",0,"","05/21/14",2
"1.11.14.141",1,11,"14","141",0,"","05/21/14",2
"1.11.14.293",1,11,"14","293",0,"","05/21/14",2
"1.11.14.140",1,11,"14","140",0,"","05/21/14",2
"1.11.14.160C",1,11,"14","160C",0,"","05/21/14",2
"1.11.14.170",1,11,"14","170",0,"","05/21/14",2
"1.11.14.261",1,11,"14","261",0,"","05/21/14",2
"1.11.14.141A",1,11,"14","141A",0,"","05/21/14",2
"1.11.14.155",1,11,"14","155",0,"","05/21/14",2
"1.11.9.464A",1,11,"9","464A",0,"","05/21/14",2
"1.11.9.667",1,11,"9","667",0,"","05/21/14",2
"1.11.9.666A",1,11,"9","666A",0,"","05/21/14",2
"1.11.9.671",1,11,"9","671",0,"","05/21/14",2
"1.11.9.717",1,11,"9","717",0,"","05/22/14",2
"1.11.9.665",1,11,"9","665",0,"","05/22/14",2
"1.11.9.721",1,11,"9","721",0,"","05/22/14",2
"1.11.9.721A",1,11,"9","721A",0,"","05/22/14",2
"1.11.9.721B",1,11,"9","721B",0,"","05/22/14",2
"1.11.9.719",1,11,"9","719",0,"","05/22/14",2
"1.11.9.623",1,11,"9","623",0,"","05/22/14",2
"1.11.9.697",1,11,"9","697",0,"","05/22/14",2
"1.11.9.715",1,11,"9","715",0,"","05/22/14",2
"1.11.9.701",1,11,"9","701",0,"","05/22/14",2
"1.11.9.696",1,11,"9","696",0,"","05/22/14",2
"1.11.9.705",1,11,"9","705",0,"","05/22/14",2
"1.11.9.706",1,11,"9","706",0,"","05/22/14",2
"1.11.9.691",1,11,"9","691",0,"","05/22/14",2
"1.11.9.692",1,11,"9","692",0,"","05/22/14",2
"1.11.9.549B",1,11,"9","549B",0,"","05/22/14",2
"1.11.9.722",1,11,"9","722",0,"","05/22/14",2
"1.11.9.663A",1,11,"9","663A",0,"","05/22/14",2
"1.11.9.702",1,11,"9","702",0,"","05/22/14",2
"1.11.9.729",1,11,"9","729",0,"","05/22/14",2
"1.11.9.759",1,11,"9","759",0,"","05/22/14",2
"1.11.9.732",1,11,"9","732",0,"","05/22/14",2
"1.11.9.712",1,11,"9","712",0,"","05/22/14",2
"1.11.9.1352",1,11,"9","1352",0,"","05/22/14",2
"1.11.14.598",1,11,"14","598",0,"","05/18/14",2
"1.11.14.599",1,11,"14","599",0,"","05/18/14",2
"1.11.14.576",1,11,"14","576",0,"","05/18/14",2
"1.11.14.613",1,11,"14","613",0,"","05/18/14",2
"1.11.14.600",1,11,"14","600",0,"","05/18/14",2
"1.11.14.551",1,11,"14","551",0,"","05/18/14",2
"1.11.14.196",1,11,"14","196",0,"","05/20/14",2
"1.11.14.198",1,11,"14","198",0,"","05/20/14",2
"1.11.14.199",1,11,"14","199",0,"","05/20/14",2
"1.11.14.230",1,11,"14","230",0,"","05/20/14",2
"1.11.14.264",1,11,"14","264",0,"","05/20/14",2
"1.11.14.184",1,11,"14","184",0,"","05/22/14",2
"1.11.14.183",1,11,"14","183",0,"","05/22/14",2
"1.11.14.115",1,11,"14","115",0,"","05/22/14",2
"1.11.14.111",1,11,"14","111",0,"","05/22/14",2
"1.11.14.128",1,11,"14","128",0,"","05/22/14",2
"1.11.14.127",1,11,"14","127",0,"","05/22/14",2
"1.11.14.87",1,11,"14","87",0,"","05/22/14",2
"1.11.14.88",1,11,"14","88",0,"","05/22/14",2
"1.11.14.5",1,11,"14","5",0,"","05/22/14",2
"1.11.14.132",1,11,"14","132",0,"","05/22/14",2
"1.11.14.131",1,11,"14","131",0,"","05/22/14",2
"1.11.14.109",1,11,"14","109",0,"","05/22/14",2
"1.11.14.119",1,11,"14","119",0,"","05/22/14",2
"1.11.14.135",1,11,"14","135",0,"","05/22/14",2
"1.11.14.192",1,11,"14","192",0,"","05/22/14",2
"1.11.14.182",1,11,"14","182",0,"","05/22/14",2
"1.11.14.77",1,11,"14","77",0,"","05/22/14",2
"1.11.14.77A",1,11,"14","77A",0,"","05/22/14",2
"1.11.14.78",1,11,"14","78",0,"","05/22/14",2
"1.11.14.78A",1,11,"14","78A",0,"","05/22/14",2
"1.11.9.651",1,11,"9","651",0,"","05/26/14",2
"1.11.9.652A",1,11,"9","652A",0,"","05/26/14",2
"1.11.9.652",1,11,"9","652",0,"","05/26/14",2
"1.11.9.650",1,11,"9","650",0,"","05/26/14",2
"1.11.9.590B",1,11,"9","590B",0,"","05/26/14",2
"1.11.9.738",1,11,"9","738",0,"","05/26/14",2
"1.11.9.736",1,11,"9","736",0,"","05/26/14",2
"1.11.9.739",1,11,"9","739",0,"","05/26/14",2
"1.11.9.735",1,11,"9","735",0,"","05/26/14",2
"1.11.9.745A",1,11,"9","745A",0,"","05/26/14",2
"1.11.9.703",1,11,"9","703",0,"","05/26/14",2
"1.11.9.704",1,11,"9","704",0,"","05/26/14",2
"1.11.9.757",1,11,"9","757",0,"","05/26/14",2
"1.11.9.724",1,11,"9","724",0,"","05/26/14",2
"1.11.9.730",1,11,"9","730",0,"","05/26/14",2
"1.11.9.727",1,11,"9","727",0,"","05/26/14",2
"1.11.9.725",1,11,"9","725",0,"","05/26/14",2
"1.11.9.726",1,11,"9","726",0,"","05/26/14",2
"1.11.9.737",1,11,"9","737",0,"","05/26/14",2
"1.11.14.265",1,11,"14","265",0,"","05/26/14",2
"1.11.14.180",1,11,"14","180",0,"","05/26/14",2
"1.11.14.179",1,11,"14","179",0,"","05/26/14",2
"1.11.14.263",1,11,"14","263",0,"","05/26/14",2
"1.11.14.102",1,11,"14","102",0,"","05/26/14",2
"1.11.14.76",1,11,"14","76",0,"","05/26/14",2
"1.11.14.60",1,11,"14","60",0,"","05/26/14",2
"1.11.14.61",1,11,"14","61",0,"","05/26/14",2
"1.11.14.101",1,11,"14","101",0,"","05/26/14",2
"1.11.14.103",1,11,"14","103",0,"","05/26/14",2
"1.11.14.97",1,11,"14","97",0,"","05/26/14",2
"1.11.14.57",1,11,"14","57",0,"","05/26/14",2
"1.11.14.134",1,11,"14","134",0,"","05/26/14",2
"1.11.14.81",1,11,"14","81",0,"","05/26/14",2
"1.11.14.41",1,11,"14","41",0,"","05/26/14",2
"1.11.14.202",1,11,"14","202",0,"","05/26/14",2
"1.11.14.3",1,11,"14","3",0,"","05/26/14",2
"1.11.14.84",1,11,"14","84",0,"","05/26/14",2
"1.11.14.53",1,11,"14","53",0,"","05/26/14",2
"1.11.14.201",1,11,"14","201",0,"","05/26/14",2
"1.11.14.40",1,11,"14","40",0,"","05/26/14",2
"1.11.10.250",1,11,"10","250",0,"","05/21/14",2
"1.11.10.314",1,11,"10","314",0,"","05/21/14",2
"1.11.10.315",1,11,"10","315",0,"","05/21/14",2
"1.11.10.341",1,11,"10","341",0,"","05/21/14",2
"1.11.10.257",1,11,"10","257",0,"","05/21/14",2
"1.11.10.306A",1,11,"10","306A",0,"","05/21/14",2
"1.11.10.310",1,11,"10","310",0,"","05/21/14",2
"1.11.10.283",1,11,"10","283",0,"","05/21/14",2
"1.11.10.321",1,11,"10","321",0,"","05/21/14",2
"1.11.10.303",1,11,"10","303",0,"","05/21/14",2
"1.11.10.300",1,11,"10","300",0,"","05/21/14",2
"1.11.10.319",1,11,"10","319",0,"","05/21/14",2
"1.11.10.318",1,11,"10","318",0,"","05/21/14",2
"1.11.10.301",1,11,"10","301",0,"","05/21/14",2
"1.11.10.253A",1,11,"10","253A",0,"","05/21/14",2
"1.11.10.307",1,11,"10","307",0,"","05/21/14",2
"1.11.10.322",1,11,"10","322",0,"","05/21/14",2
"1.11.10.329",1,11,"10","329",0,"","05/22/14",2
"1.11.10.330",1,11,"10","330",0,"","05/22/14",2
"1.11.10.320",1,11,"10","320",0,"","05/22/14",2
"1.11.10.255",1,11,"10","255",0,"","05/22/14",2
"1.11.10.251",1,11,"10","251",0,"","05/22/14",2
"1.11.10.256",1,11,"10","256",0,"","05/22/14",2
"1.11.10.326A",1,11,"10","326A",0,"","05/22/14",2
"1.11.10.252",1,11,"10","252",0,"","05/22/14",2
"1.11.10.249",1,11,"10","249",0,"","05/22/14",2
"1.11.10.257A",1,11,"10","257A",0,"","05/22/14",2
"1.11.10.295",1,11,"10","295",0,"","05/22/14",2
"1.11.10.325A",1,11,"10","325A",0,"","05/22/14",2
"1.11.10.284",1,11,"10","284",0,"","05/22/14",2
"1.11.10.349",1,11,"10","349",0,"","05/22/14",2
"1.11.13.145",1,11,"13","145",0,"","05/22/14",2
"1.11.13.164A",1,11,"13","164A",0,"","05/22/14",2
"1.11.9.653",1,11,"9","653",0,"","05/27/14",2
"1.11.9.690A",1,11,"9","690A",0,"","05/27/14",2
"1.11.9.760",1,11,"9","760",0,"","05/27/14",2
"1.11.9.661",1,11,"9","661",0,"","05/27/14",2
"1.11.9.745",1,11,"9","745",0,"","05/27/14",2
"1.11.9.752",1,11,"9","752",0,"","05/27/14",2
"1.11.9.469",1,11,"9","469",0,"","05/27/14",2
"1.11.9.588",1,11,"9","588",0,"","05/27/14",2
"1.11.9.711",1,11,"9","711",0,"","05/27/14",2
"1.11.9.763",1,11,"9","763",0,"","05/27/14",2
"1.11.9.766",1,11,"9","766",0,"","05/27/14",2
"1.11.9.731",1,11,"9","731",0,"","05/27/14",2
"1.11.9.728",1,11,"9","728",0,"","05/27/14",2
"1.11.9.765",1,11,"9","765",0,"","05/27/14",2
"1.11.9.539",1,11,"9","539",0,"","05/27/14",2
"1.11.9.779",1,11,"9","779",0,"","05/28/14",2
"1.11.9.784",1,11,"9","784",0,"","05/28/14",2
"1.11.9.800",1,11,"9","800",0,"","05/28/14",2
"1.11.9.801",1,11,"9","801",0,"","05/28/14",2
"1.11.9.797",1,11,"9","797",0,"","05/28/14",2
"1.11.9.799A",1,11,"9","799A",0,"","05/28/14",2
"1.11.9.772",1,11,"9","772",0,"","05/28/14",2
"1.11.9.875",1,11,"9","875",0,"","05/28/14",2
"1.11.9.796",1,11,"9","796",0,"","05/28/14",2
"1.11.9.795",1,11,"9","795",0,"","05/28/14",2
"1.11.9.806",1,11,"9","806",0,"","05/28/14",2
"1.11.9.799",1,11,"9","799",0,"","05/28/14",2
"1.11.9.741",1,11,"9","741",0,"","05/28/14",2
"1.11.9.713",1,11,"9","713",0,"","05/28/14",2
"1.11.9.761",1,11,"9","761",0,"","05/28/14",2
"1.11.9.842",1,11,"9","842",0,"","05/28/14",2
"1.11.9.780A",1,11,"9","780A",0,"","05/28/14",2
"1.11.9.780",1,11,"9","780",0,"","05/28/14",2
"1.11.9.777",1,11,"9","777",0,"","05/28/14",2
"1.11.9.785",1,11,"9","785",0,"","05/28/14",2
"1.11.9.794",1,11,"9","794",0,"","05/28/14",2
"1.11.9.119",1,11,"9","119",0,"","05/28/14",2
"1.11.5.129",1,11,"5","129",0,"","04/10/2014",2
"1.11.5.16",1,11,"5","16",0,"","04/10/2014",2
"1.11.5.74",1,11,"5","74",0,"","04/10/2014",2
"1.11.5.114",1,11,"5","114",0,"","04/10/2014",2
"1.11.5.39",1,11,"5","39",0,"","05/28/14",2
"1.11.5.17",1,11,"5","17",0,"","05/28/14",2
"1.11.5.53",1,11,"5","53",0,"","05/28/14",2
"1.11.5.72D",1,11,"5","72D",0,"","05/28/14",2
"1.11.5.72E",1,11,"5","72E",0,"","05/28/14",2
"1.11.10.291",1,11,"10","291",0,"","05/26/14",2
"1.11.10.267A",1,11,"10","267A",0,"","05/26/14",2
"1.11.10.267",1,11,"10","267",0,"","05/26/14",2
"1.11.10.296",1,11,"10","296",0,"","05/26/14",2
"1.11.10.247",1,11,"10","247",0,"","05/26/14",2
"1.11.10.248",1,11,"10","248",0,"","05/26/14",2
"1.11.10.270",1,11,"10","270",0,"","05/26/14",2
"1.11.10.266",1,11,"10","266",0,"","05/26/14",2
"1.11.10.259",1,11,"10","259",0,"","05/26/14",2
"1.11.10.222",1,11,"10","222",0,"","05/26/14",2
"1.11.10.277",1,11,"10","277",0,"","05/26/14",2
"1.11.10.332",1,11,"10","332",0,"","05/26/14",2
"1.11.10.260A",1,11,"10","260A",0,"","05/26/14",2
"1.11.10.246",1,11,"10","246",0,"","05/26/14",2
"1.11.10.263",1,11,"10","263",0,"","05/26/14",2
"1.11.14.7",1,11,"14","7",0,"","05/27/14",2
"1.11.14.9",1,11,"14","9",0,"","05/27/14",2
"1.11.14.27",1,11,"14","27",0,"","05/27/14",2
"1.11.14.26",1,11,"14","26",0,"","05/27/14",2
"1.11.14.21",1,11,"14","21",0,"","05/27/14",2
"1.11.14.232",1,11,"14","232",0,"","05/27/14",2
"1.11.14.63",1,11,"14","63",0,"","05/27/14",2
"1.11.14.62A",1,11,"14","62A",0,"","05/27/14",2
"1.11.14.52",1,11,"14","52",0,"","05/27/14",2
"1.11.14.113",1,11,"14","113",0,"","05/27/14",2
